row,original_id,field_name,original_value,varied_value,variation_type,entity_type,duplicate_id
0,06d2ed7c-e6ac-4d8a-8160-ff927c7550f2,healthcareOrganizationName,Ibarra PLC Zorg,Ibarra PLk Zorg,Organization Name Typo,HealthcareOrganization,HCO1
1,4a863655-0a9d-499c-a269-8c2d614f1ddc,healthcareOrganizationName,"Berg, Long and Middleton Tervisekeskus","Berg, Long and Middleton Terivsekeskus",Organization Name Typo,HealthcareOrganization,HCO2
2,037d9752-48f3-431c-8fb7-c3bb4408c04c,healthcareOrganizationName,"Jordan, Jackson and Kramer Zorg","Jordan, Jackson and Krame rZorg",Organization Name Typo,HealthcareOrganization,HCO3
3,5d393bf9-b2da-41f6-8c16-014a2e4a6e78,healthcareOrganizationName,Perez-Becker Gesundheitszentrum,PG,Organization Name Abbreviation,HealthcareOrganization,HCO4
5,3e332f35-086c-4768-b0fe-3cfc991ab513,healthcareOrganizationName,Novak PLC Tervisekeskus,Noavk PLC Tervisekeskus,Organization Name Typo,HealthcareOrganization,HCO6
6,92d6ff73-5b3a-4595-8458-92c14e0e15d3,healthcareOrganizationName,"Delgado, Guerrero and Simpson Zorg",D Guerrero and Simpson Zorg,Organization Name Abbreviation,HealthcareOrganization,HCO7
7,9db3466d-1ba6-4c61-aaf9-4919e69b7971,healthcareOrganizationName,"Parker, Murphy and Brooks Gesundheitszentrum",P Murphy and Brooks Gesundheitszentrum,Organization Name Abbreviation,HealthcareOrganization,HCO8
9,71a8c9c6-0f6a-475b-b55b-2e5ca6ed0ac0,healthcareOrganizationName,Figueroa-Strong Zorg,Figueroa-Storng Zorg,Organization Name Typo,HealthcareOrganization,HCO10
10,52ebdac5-a145-4899-a1f8-c1569e0df45b,healthcareOrganizationName,Allen Ltd Zorg,Allen Ltd Zrog,Organization Name Typo,HealthcareOrganization,HCO11
11,8b5885ca-0bb2-43f0-bd30-291a55fea08e,healthcareOrganizationName,"Mcneil, Gonzalez and Howard Tervisekeskus",M Gonzalez and Howard Tervisekeskus,Organization Name Abbreviation,HealthcareOrganization,HCO12
12,c7405255-25cf-41c4-9c89-929692b035e0,healthcareOrganizationName,Burch LLC Zorg,Burch LL CZorg,Organization Name Typo,HealthcareOrganization,HCO13
14,a59cec98-126c-4c8f-b888-447911ebcd49,healthcareOrganizationName,"Robinson, Montoya and Walters Gesundheitszentrum",R Montoya and Walters Gesundheitszentrum,Organization Name Abbreviation,HealthcareOrganization,HCO15
0,daf66c5f-2577-4ffa-887a-746319c16a0d,postalCode,9573,9573 ,Postal Code Formatting Variations,Address,Ad15
0,daf66c5f-2577-4ffa-887a-746319c16a0d,city,Kufstein,Kufsetin,City and Locality Name Variations,Address,Ad15
0,daf66c5f-2577-4ffa-887a-746319c16a0d,text,Sulzergasse 127,Sulzergassr 127,Street Name Manipulation,Address,Ad15
1,19d5f970-98b3-4c6e-8a14-b90a7795e986,city,Maiechester,aMiechester,City and Locality Name Variations,Address,Ad12
1,19d5f970-98b3-4c6e-8a14-b90a7795e986,text,Andrei Parkway 88,Andrei Parkway 88B,Street Number Manipulation,Address,Ad12
1,19d5f970-98b3-4c6e-8a14-b90a7795e986,postalCode,20239,2023 9,Postal Code Formatting Variations,Address,Ad12
2,bb0378eb-7a62-422e-9d69-d9fc4b1cb8bd,country,NL,Netherlands,Country Representation Variations,Address,Ad14
3,ef7e85ec-a417-456f-a9ee-7f3d0ff030b8,text,Majaring 76,Majaring 76A,Street Number Manipulation,Address,Ad11
4,7d859725-c707-4ef9-86c3-744cc88e03b6,country,NL,Netherlands,Country Representation Variations,Address,Ad1
4,7d859725-c707-4ef9-86c3-744cc88e03b6,text,Jordyring 13,Jordyring 13-1,Street Number Manipulation,Address,Ad1
5,27649a62-b02d-452c-9b05-0db28ee4fd02,country,NL,Netherlands,Country Representation Variations,Address,Ad5
6,8b279c29-a274-40d7-b4a5-cc36692a7bce,text,Benteboulevard 95,Benteboulevarq 95,Street Name Manipulation,Address,Ad10
6,8b279c29-a274-40d7-b4a5-cc36692a7bce,city,Vorchten,Vorchetn,City and Locality Name Variations,Address,Ad10
7,1095e497-3d79-4f0b-a6cd-3595d4f0d65d,postalCode,3985,3985 ,Postal Code Formatting Variations,Address,Ad8
7,1095e497-3d79-4f0b-a6cd-3595d4f0d65d,text,Hahnweg 92,Hahnwen 92,Street Name Manipulation,Address,Ad8
7,1095e497-3d79-4f0b-a6cd-3595d4f0d65d,country,AT,Austria,Country Representation Variations,Address,Ad8
8,3856be31-f568-49c6-833c-14694f06ea18,text,Zakariasingel 13,Zakariasingel 13B,Street Number Manipulation,Address,Ad7
8,3856be31-f568-49c6-833c-14694f06ea18,city,Arcen,Arecn,City and Locality Name Variations,Address,Ad7
9,6756264d-c864-4f78-beaf-167952b04994,postalCode,4271 LL,4271LL,Postal Code Formatting Variations,Address,Ad3
10,4598244b-f0bd-4405-a50d-d400a27ee80d,postalCode,2354,2354 ,Postal Code Formatting Variations,Address,Ad9
10,4598244b-f0bd-4405-a50d-d400a27ee80d,city,Gänserndorf,äGnserndorf,City and Locality Name Variations,Address,Ad9
10,4598244b-f0bd-4405-a50d-d400a27ee80d,country,AT,Austria,Country Representation Variations,Address,Ad9
