original_id,duplicate_id,entity_type,variation_type,field_name,original_value,varied_value
4c407098-5dd6-4593-b1f2-c908e38dbb7e,ba16f676-d7aa-439b-93b0-5344313bfba0,ServiceDepartment,translation,serviceDepartmentName,Nursing,Pflege
711f02ac-e905-4731-bd38-7e53f882006a,e95abddc-de46-4865-b92a-939d655b8ce9,ServiceDepartment,department_abbreviation,serviceDepartmentName,Pediatric,Peds
c17c1820-23f6-40e8-8978-25ad137e21d5,0d90b6b5-2da1-46d0-b52d-da1547f472f0,ServiceDepartment,translation,serviceDepartmentName,Obstetric,Geburtshilfe
7236c9fd-cfd3-4fcf-9720-e54564ddeda8,1d78e1f3-0809-489d-a61a-06bb2d65a8f0,Person,language_expansion,knowsLanguage,nl,Dutch
7236c9fd-cfd3-4fcf-9720-e54564ddeda8,1d78e1f3-0809-489d-a61a-06bb2d65a8f0,HealthcarePersonnel,email_typo,email,jillianjackson@healthcare.org,jlilianjackson@healthcare.org
2f2f9420-23e4-4313-8b29-94f5bf6bee62,d47679d6-f84b-405d-a716-c34b08a70e1d,Person,language_expansion,knowsLanguage,nl,Dutch
2f2f9420-23e4-4313-8b29-94f5bf6bee62,d47679d6-f84b-405d-a716-c34b08a70e1d,HealthcarePersonnel,email_typo,email,janethill@healthcare.org,janthill@healthcare.org
db8a4c7f-f41d-47b3-b083-75a3556744ac,59636b2f-de8b-4854-ba9c-37e0760d1020,Person,language_expansion,knowsLanguage,nl,Dutch
db8a4c7f-f41d-47b3-b083-75a3556744ac,59636b2f-de8b-4854-ba9c-37e0760d1020,HealthcarePersonnel,email_typo,email,kevinsolis@healthcare.org,kevnsolis@healthcare.org
ac96167d-a574-4898-916c-91da2c601312,501f267a-ba70-4a95-88b7-1dd6e8d98793,Person,language_expansion,knowsLanguage,nl,Dutch
a4d7c5eb-9fa3-44e5-b181-3e9814b0ed91,056d070f-504e-41b6-8829-a7425148da82,Person,language_expansion,knowsLanguage,nl,Dutch
a4d7c5eb-9fa3-44e5-b181-3e9814b0ed91,056d070f-504e-41b6-8829-a7425148da82,HealthcarePersonnel,email_typo,email,angelaadams@healthcare.org,angelaadamms@healthcare.org
b5c9e921-de1b-4215-904f-6274886b00e6,09d962da-bdad-4303-a19d-92adf5ff85b9,Person,language_expansion,knowsLanguage,nl,Dutch
b5c9e921-de1b-4215-904f-6274886b00e6,09d962da-bdad-4303-a19d-92adf5ff85b9,HealthcarePersonnel,email_typo,email,chloerodriguez@healthcare.org,chloerordiguez@healthcare.org
ff6581ca-1748-4b1c-9d61-b002011b529e,8736b090-a94a-45e9-84a5-e98f94c6fc4e,Person,language_expansion,knowsLanguage,nl,Dutch
7c53fa9f-047a-4a05-8794-b23adee42457,d4531f5d-67bc-4d23-be6f-10ab8b343b07,Person,language_expansion,knowsLanguage,nl,Dutch
7c53fa9f-047a-4a05-8794-b23adee42457,d4531f5d-67bc-4d23-be6f-10ab8b343b07,HealthcarePersonnel,email_typo,email,christinemorgan@healthcare.org,christinemorggan@healthcare.org
380b588e-11f0-4ec1-a525-c0f89f851d5f,eebbc93b-f71a-4e06-99f7-9b3e1d08355d,Person,language_expansion,knowsLanguage,nl,Dutch
380b588e-11f0-4ec1-a525-c0f89f851d5f,eebbc93b-f71a-4e06-99f7-9b3e1d08355d,HealthcarePersonnel,email_typo,email,drdavidglenn@healthcare.org,ddavidglenn@healthcare.org
0d94bd4b-56b8-4e72-851c-53c18e479952,4e72562c-aa03-4d2e-9dad-ac09e7222768,Person,language_expansion,knowsLanguage,nl,Dutch
0d94bd4b-56b8-4e72-851c-53c18e479952,4e72562c-aa03-4d2e-9dad-ac09e7222768,HealthcarePersonnel,email_typo,email,alyssaelliott@healthcare.org,aloyssaelliott@healthcare.org
0c4a89ce-0597-40f5-b096-840aec8dd76e,90f19caf-0b75-4f9d-a21c-0f751236895e,Person,language_expansion,knowsLanguage,nl,Dutch
ad2c53ec-1bd5-4871-9053-78ae62b7e142,6007d0f3-d113-4d41-8cda-0584eee0a4ef,Person,language_expansion,knowsLanguage,nl,Dutch
2789e561-747a-439a-aadf-28328271b43b,f3f92e15-a22f-4799-b9cb-8eff761acbca,Person,language_expansion,knowsLanguage,nl,Dutch
2789e561-747a-439a-aadf-28328271b43b,f3f92e15-a22f-4799-b9cb-8eff761acbca,HealthcarePersonnel,email_typo,email,gabriellapadilla@healthcare.org,gabrielllapadilla@healthcare.org
7bbb5c50-cb8a-4f19-980f-a40fc333af1f,355142ab-49a9-402b-8184-cb82baf13b71,Person,language_expansion,knowsLanguage,nl,Dutch
7bbb5c50-cb8a-4f19-980f-a40fc333af1f,355142ab-49a9-402b-8184-cb82baf13b71,HealthcarePersonnel,email_typo,email,michaellee@healthcare.org,mihcaellee@healthcare.org
53163b07-5e76-41ec-ad6f-4334d70e4112,71d7c4db-3296-4893-a41b-faa6f25eddc4,Person,language_expansion,knowsLanguage,nl,Dutch
3bf56c91-c4ab-41df-8ed2-07d57378928b,53db875e-3fa9-4d44-a84d-9d73e19bb6f8,Person,language_expansion,knowsLanguage,nl,Dutch
3bf56c91-c4ab-41df-8ed2-07d57378928b,53db875e-3fa9-4d44-a84d-9d73e19bb6f8,HealthcarePersonnel,email_typo,email,timothythompson@healthcare.org,timothythhompson@healthcare.org
fbc481d0-c2ee-4c58-acea-7b078534af6a,b434e162-7873-428f-a412-84c0315b4cf8,Person,language_expansion,knowsLanguage,nl,Dutch
3a98d017-c7de-4502-b74f-31a7726c928e,c0191882-a2d9-4a86-bda7-f1f8182c1419,Person,language_expansion,knowsLanguage,nl,Dutch
74fae37f-a1c2-49c5-9ad9-8fed600827bb,dcdeb4bc-cb8a-45a7-8b9a-403a9efc0831,Person,language_expansion,knowsLanguage,nl,Dutch
74fae37f-a1c2-49c5-9ad9-8fed600827bb,dcdeb4bc-cb8a-45a7-8b9a-403a9efc0831,HealthcarePersonnel,email_typo,email,davidvasquez@healthcare.org,daidvasquez@healthcare.org
adee1674-f3ba-487f-ad92-ee67815caa30,ceec7476-3683-4262-9b61-54d62e5c9644,Person,language_expansion,knowsLanguage,nl,Dutch
adee1674-f3ba-487f-ad92-ee67815caa30,ceec7476-3683-4262-9b61-54d62e5c9644,HealthcarePersonnel,email_typo,email,amandathomas@healthcare.org,aandathomas@healthcare.org
c5b86ef6-50ae-4aad-9624-ad65684ba126,ba78c78a-dcc0-43c9-aa95-09311a518d19,Person,language_expansion,knowsLanguage,nl,Dutch
c5b86ef6-50ae-4aad-9624-ad65684ba126,ba78c78a-dcc0-43c9-aa95-09311a518d19,HealthcarePersonnel,email_typo,email,alexbaldwin@healthcare.org,alexabldwin@healthcare.org
ac8822f8-2831-4bdf-b3b7-c415367a413f,98415cab-25d0-42bc-b490-257119c004f5,Person,language_expansion,knowsLanguage,nl,Dutch
ac8822f8-2831-4bdf-b3b7-c415367a413f,98415cab-25d0-42bc-b490-257119c004f5,HealthcarePersonnel,email_typo,email,jasonwhite@healthcare.org,jasonwhhite@healthcare.org
84963570-b411-4eaf-ad72-65db081f7d48,ecf29dd5-9330-4bd3-96bc-2a1cf9aee388,Person,language_expansion,knowsLanguage,nl,Dutch
84963570-b411-4eaf-ad72-65db081f7d48,ecf29dd5-9330-4bd3-96bc-2a1cf9aee388,HealthcarePersonnel,email_typo,email,kennethglover@healthcare.org,kennethglovter@healthcare.org
9dd10b5c-444a-4860-9426-35bc708cd1b7,7db40228-f6ad-439d-83a4-d00d20037c13,Person,language_expansion,knowsLanguage,nl,Dutch
9dd10b5c-444a-4860-9426-35bc708cd1b7,7db40228-f6ad-439d-83a4-d00d20037c13,HealthcarePersonnel,email_typo,email,danielparker@healthcare.org,daniielparker@healthcare.org
203fb98a-a752-41de-9966-323ddeb26469,bb26cb7a-e220-48fd-aab8-b52735c3991f,Person,language_expansion,knowsLanguage,nl,Dutch
203fb98a-a752-41de-9966-323ddeb26469,bb26cb7a-e220-48fd-aab8-b52735c3991f,HealthcarePersonnel,email_typo,email,michaelpaul@healthcare.org,micchaelpaul@healthcare.org
ef151673-a1df-4da7-9d44-c93e7799a8e2,76e7c605-d1ad-4a39-ac8e-a2f1bbde1ef0,ContactPoint,translation,contactType,general inquiries,Algemene vragen
7df8b7f0-44a1-44d0-96df-fc21b1c2ed56,66375d95-22b8-49f0-ab1b-dce8d5d3bad2,ContactPoint,translation,contactType,referrals,verwijzingen
9e3589b2-eb14-4394-bd70-57fbc7caa96b,38eb9f66-3bd9-47a6-a4f2-6ec795960db8,ContactPoint,translation,contactType,emergency,noodgeval
2a630fd1-71cf-439d-aa1f-ff41af1b7013,747d546c-4ee7-40d7-9d56-b8782fb60472,ContactPoint,translation,contactType,referrals,suunamine
6db16e7a-23e0-484e-bc30-9d334ea8c3b1,5524d7a3-c28a-4a47-85f3-de9a922e5c93,ContactPoint,translation,contactType,emergency,noodgeval
c46e1738-790b-4990-a428-da2ed8900991,d56ebdf4-0835-497c-b7c4-2aa1a752a750,ContactPoint,translation,contactType,emergency,noodgeval
b5eca796-dc5f-4db7-87b5-2a8b0af01e69,286beb97-caf6-4f5b-8e88-c4b176f36c1d,ContactPoint,translation,contactType,emergency,Notfall
b11826f6-66c3-400c-9cae-80b846695f55,296b174b-f7b0-42c4-bb09-143a25a13a8b,ContactPoint,translation,contactType,emergency,noodgeval
77059fa8-56be-4bee-a67c-4de762f8d20a,6b3a2029-ac27-4f31-b199-75a8f55b8b07,ContactPoint,translation,contactType,referrals,verwijzingen
68f111c6-ddef-4680-9eb8-39597f119389,95d8be27-eb19-42d3-83aa-e0772ec2da9e,ContactPoint,translation,contactType,emergency,noodgeval
4e98ce25-1733-4a7c-93e8-36639c14940d,10859a90-2e7a-4f80-b25a-8fb175a54982,ContactPoint,translation,contactType,general inquiries,Allgemeine Anfragen
8a8ed273-ece1-4e8b-85cc-70a1a49266c9,b23e0e74-704c-4812-878c-927167a66f65,ContactPoint,translation,contactType,emergency,noodgeval
6278f95a-7438-4b47-aa83-c504ebbc854b,df1ba677-2a2c-44cf-b893-1c95fe821600,ContactPoint,translation,contactType,referrals,verwijzingen
91db735e-dc21-43e8-902e-4f400a013a86,57c0fe86-f829-44a1-aad3-6f6e5578a361,ContactPoint,translation,contactType,staff,personeel
80082244-1ac5-443b-b7dd-3c21e618d25d,647f3cd1-4359-45c8-add8-0b5042a73145,ContactPoint,translation,contactType,staff,personeel
da47b8f9-cee4-4404-9648-1f4b0c747a90,5171b7ad-fdfa-4d79-af7d-c2965f675adf,ContactPoint,translation,contactType,staff,personeel
799c82ee-f742-453b-a7a1-28de18310104,044ffa08-ce4d-4371-9951-07cbd3935bf7,ContactPoint,translation,contactType,information,teave
b0ca76f7-17f9-4524-8332-ed33bba6e752,bc0e7311-0f1b-4d24-acb9-ca7b91ba5b96,ContactPoint,translation,contactType,referrals,suunamine
84ddf869-b816-4f1a-9677-013ba8e19b83,1d3976f9-6b44-49dc-ae74-13f04b65e378,ContactPoint,translation,contactType,emergency,hÃ¤daolukord
6efeb18f-aaa6-4ef9-bbb6-ba4c140ab78e,0a671326-68dd-4e6f-ac93-fd83642e2475,ContactPoint,translation,contactType,staff,personeel
