label,left_birthDate,left_email,left_gender,left_jobTitle,left_knowsLanguage,left_name,right_birthDate,right_email,right_gender,right_jobTitle,right_knowsLanguage,right_name
,1967-11-09,judithwilson@healthcare.org,Female,Genetic Counselor,nl,Judith Wilson,1997-02-22,terrhyoffman@healthcare.org,Female,Lab Technician,nl,Tehry Hoffman
,2000-02-11,pamelatucker@healthcare.org,Male,Toxicologist,et,Pamela Tucker,1965-12-12,randycrater@healthcare.org,Female,Orthopedic Surgeon,et,Randy Carzer
,1989-11-05,colleenhubbard@healthcare.org,Other,Arthritis Specialist,nl,Colleen Hubbard,1998-15-08,keithpeterson@healthcare.org,Female,Hematologist,de,Keith Peterson
,1976-06-08,tanyamalone@healthcare.org,Male,Vision Therapist,et,Tanya Malone,1984-06-24,sarahhary@healthcare.org,Other,Cardiovascular Surgeon,Estonian,Sarah Hardy
,1982-01-18,kathyknapp@healthcare.org,Female,Psychologist,et,Kathy Knapp,1992-08-03,andreclark@healthcare.org,Female,Obstetrics Technician,de,Andrea Clark
,1974-05-01,chasemitchell@healthcare.org,Female,Reconstructive Specialist,et,Chase Mitchell,2000-04-06,elizabethroodriguez@healthcare.org,Female,Optometrist,nl,Rodriguez Elizabeth
,1968-09-22,stephencummings@healthcare.org,Male,General Practitioner,de,Stephen Cummings,1988-12-06,suznnehernandez@healthcare.org,Male,Urology Nurse,de,Suzanne Hernandez
,1962-05-26,katiebooth@healthcare.org,Male,Anesthesiologist,nl,Katie Booth,1985-02-06,aprilcolemban@healthcare.org,Male,Orthopedic Surgeon,et,April Colemban
,1971-12-24,jasonmercer@healthcare.org,Male,Vision Therapist,nl,Jason Mercer,1982-02-26,apprilsmith@healthcare.org,Other,Hematology Nurse,et,Smith April
,1989-08-27,gregoryellison@healthcare.org,Female,Surgical Technologist,et,Gregory Ellison,1993-06-08,tomasgarcia@healthcare.org,Female,GI Technician,et,T. Garcia
,1961-06-28,aliciawagner@healthcare.org,Female,Anesthesia Assistant,nl,Alicia Wagner,1968-02-10,angelajjuarez@healthcare.org,Female,Psychiatrist,nl,A. Juarez
,1995-03-31,nataliebarr@healthcare.org,Male,Geneticist,nl,Natalie Barr,1979-08-17,scottmoyer@healthcare.org,Other,Elderly Care Specialist,nl,S. Moyer
,1979-09-19,kellythomas@healthcare.org,Female,Rheumatology Nurse,de,Kelly Thomas,1985-04-14,danaparul@healthcare.org,Male,Pathologist,nl,Paul Dana
,1998-12-14,amyodom@healthcare.org,Other,Rheumatologist,nl,Amy Odom,1982-25-12,tracyreeed@healthcare.org,Male,Dermatologist,nl,Tracy Reed
,1989-06-19,stephengross@healthcare.org,Female,Health Educator,nl,Stephen Gross,1981-07-27,bryookesalazar@healthcare.org,Male,Infectious Disease Specialist,German,Brooke Salazar
,1978-12-18,joemiller@healthcare.org,Other,Medical Assistant,nl,Joe Miller,1966-07-01,josehstevenson@healthcare.org,Other,Vision Therapist,Estonian,Joseph Stevenson
,1992-09-30,dianamurray@healthcare.org,Male,Primary Care Nurse,nl,Diana Murray,1978-02-22,hapnnahmiller@healthcare.org,Female,Obstetrics Technician,de,Miller Hannah
,1987-03-26,laurenjensen@healthcare.org,Male,Cardiovascular Surgeon,et,Lauren Jensen,1965-03-30,jordanbailey@healthcare.org,Male,Infectious Disease Specialist,et,Bailey Jordan
,1982-01-18,kathyknapp@healthcare.org,Female,Psychologist,et,Kathy Knapp,1984-06-01,rogemreyers@healthcare.org,Male,Endocrine Nurse,de,Roger Meyers
,1980-01-26,tammydelgado@healthcare.org,Male,General Practitioner,de,Tammy Delgado,1983-08-09,araonlevine@healthcare.org,Male,Otolaryngologist,Estonian,Aaron Levine
,1968-05-28,scottkent@healthcare.org,Other,Arthritis Specialist,nl,Scott Kent,1996-01-21,roberttlogan@healthcare.org,Other,Endocrinologist,Dutch,Robert Logan
,1986-12-09,matthewbeasley@healthcare.org,Other,Health Educator,nl,Matthew Beasley,1978-03-15,karenundeerwood@healthcare.org,Male,Dentist,et,Kaben Underwood
,1977-03-30,chasesnyder@healthcare.org,Other,Medical Assistant,et,Chase Snyder,1960-02-15,joshuabradleydds@healthcare.org,Other,Elderly Care Specialist,Estonian,Joshua Bradley DDS
,1973-10-14,barbarasimpson@healthcare.org,Male,Community Outreach Specialist,nl,Barbara Simpson,1963-05-01,matthewrordiguez@healthcare.org,Other,Primary Care Nurse,nl,Rodriguez Matthew
,1960-12-29,susanwashington@healthcare.org,Male,Community Outreach Specialist,et,Susan Washington,1988-07-12,brandiacevdo@healthcare.org,Other,Lung Function Technician,Estonian,Brandi Acevedo
