label,left_addressCountry,left_addressLocality,left_postalCode,left_streetAddress,right_addressCountry,right_addressLocality,right_postalCode,right_streetAddress
,AT,Baden,1873,Barbara-Mitterlehner-Gasse 123,AT,Mattersburg,3850,
,AT,Wilhelmsburg,9737,Aichingerweg 17,EE,North Aivarstad,78822,
,AT,Landeck,2308,Fitzstraße 14,EE,South Kristi,80489,
,NL,Blesdijke,7031 CH,Carlijnsteeg 86,AT,Retz,6077,
,NL,Echteld,6042 AC,Berendpad 16,AT,Grieskirchen,9040,
,AT,Jennersdorf,4114,Nikola-Schwab-Ring 3,AT,Amstetten,8952,
,AT,Mariazell,5414,Matilda-Scherzer-Gasse 129,AT,Mattersburg,3850,
,AT,Mariazell,5414,Matilda-Scherzer-Gasse 129,AT,Pregarten,5773,
,NL,Tienray,9511 QK,Evelienpad 133,AT,Dürnstein,1474,
,AT,Althofen,6456,Pachlergasse 7,AT,Sankt Pölten,2851,
,NL,Oldenzijl,4196 EO,Felixstraat 76,NL,Dreischor,3354 WO,
,AT,Gmunden,9449,Aignergasse 94,NL,Helvoirt,9135 MC,
,AT,Bregenz,4948,Haslauerplatz 84,NL,IJsselham,7370 DH,
,NL,Reeuwijk,9251 OB,Jurrering 133,EE,Lake Dianastad,99041,
,AT,Mautern an der Donau,4451,Draxlergasse 17,EE,North Natalja,19732,
,NL,Ewijk,3850 RP,Lukahof 42,EE,East Nikolai,80378,
,AT,Freistadt,1267,Buchbergerring 81,EE,Lake Dianastad,99041,
,AT,Raabs an der Thaya,9317,Scharfstr. 101,NL,Hidaard,1008 JC,
,AT,Krems an der Donau,6060,Foidlstr. 65,EE,South Jüri,41096,
,EE,Tuulikstad,28046,Novikov Place 120,EE,East Juri,74582,
,EE,Gontšarovburgh,53738,Tiina Brooks 18,EE,East Sander,51250,
,AT,Bärnbach,1478,Schiestlweg 58,AT,Hainburg an der Donau,5910,
,AT,Enns,2160,Alara-Reif-Weg 88,NL,Boerakker,1371 WB,
,AT,Mistelbach an der Zaya,1305,Adamweg 34,AT,Rottenmann,4988,
,NL,Slijkenburg,9504 AE,Joëlboulevard 47,NL,Zevenhoven,4578 MH,
,EE,Remmelview,87595,Nurk Forges 31,AT,Schrems,6626,
,AT,Enns,2160,Alara-Reif-Weg 88,NL,Slijkenburg,9504 AE,
,NL,Helvoirt,9135 MC,Beratbaan 11,NL,Hierden,5852 XF,
,NL,Meterik,9641 EG,Timpad 65,NL,Reeuwijk,9251 OB,
,NL,Slijkenburg,9504 AE,Joëlboulevard 47,AT,Mattersburg,3850,
