label,left_addressCountry,left_addressLocality,left_postalCode,left_streetAddress,right_addressCountry,right_addressLocality,right_postalCode,right_streetAddress
,EE,Pulkmouth,57994,Kalmus Trail 111,EE,Kuuskmouth,,Olga Hollow 46
,EE,Sillasteberg,66820,Rein Trail 98,NL,Echteld,,Bilalring 122
,AT,Bad Leonfelden,2034,Estelle-Suppan-Platz 79,NL,Hoofddorp,,Saarsteeg 12
,NL,Vries,7387 RO,Youssefdreef 133,AT,Hainfeld,,Zettlplatz 114
,AT,Mank,9672,Hoferplatz 2,NL,Oppenhuizen,,Milahof 74
,NL,Nieuwe Pekela,2569 KW,Rikdreef 97,AT,Schrems,,Richard-Dorner-Weg 104
,AT,Oberpullendorf,5724,Weissplatz 30,NL,Westerhoven,,Sebastiaanhof 113
,EE,Jaanusburgh,44952,Gontšarov Square 129,NL,Vries,,Youssefdreef 133
,EE,Reimanntown,75020,Mäesalu Locks 135,NL,Westerhoven,,Sebastiaanhof 113
,EE,East Siimland,23309,Kondratjev Pike 122,AT,Radenthein,,Benjamin-Tischler-Platz 73
,EE,Sergejevmouth,87483,Toots Ridges 101,AT,Gmunden,,Marie-Jung-Ring 148
,NL,Voorthuizen,1552 NU,Tiesweg 137,NL,Hekelingen,,Azraweg 17
,AT,Hartberg,4189,Arda-Haindl-Ring 86,AT,Stadtschlaining,,Lisa-Wöhrer-Straße 147
,AT,Marchtrenk,7718,Claire-Posch-Ring 75,EE,East Sergey,,Tarmo Lake 92
,AT,Bad Leonfelden,2034,Estelle-Suppan-Platz 79,AT,Mariazell,,Matilda-Scherzer-Gasse 129
,AT,Liezen,4309,Lily-Rechberger-Ring 65,NL,Simpelveld,,Sennasteeg 120
,NL,Oldenzijl,4196 EO,Felixstraat 76,AT,Stockerau,,Salzmannplatz 32
,NL,Steenenkamer,7522 PX,Livsteeg 9,NL,Ewijk,,Lukahof 42
,NL,Oud Zuilen,5579 YN,Lukassteeg 84,AT,Krems an der Donau,,Foidlstr. 65
,AT,Dürnstein,5667,Dana-Neumayr-Straße 111,EE,Annuschester,,Laas Stream 41
,AT,Landeck,2308,Fitzstraße 14,AT,Straßburg,,Pollakplatz 110
,EE,North Kristjan,19198,Tiina Fork 142,NL,Voorthuizen,,Tiesweg 137
,AT,Ternitz,4294,Justin-Gross-Straße 126,EE,Lake Andreshaven,,Nõmme Hollow 68
,EE,Sillasteberg,66820,Rein Trail 98,EE,Sergejevmouth,,Toots Ridges 101
,AT,Oberwälz,7370,Schützstraße 103,EE,South Kristi,,Galina Villages 104
,AT,Amstetten,9831,Reischlstraße 16,AT,Bregenz,,Haslauerplatz 84
,AT,Gmunden,9449,Aignergasse 94,NL,Hidaard,,Jasperhof 106
,NL,Sleen,5361 RW,Linnbaan 30,NL,Punthorst,,Larastraat 137
,NL,Rijswijk (GLD),4124 IT,Charlottebaan 71,AT,Wörgl,,Calvin-Mitter-Straße 50
,EE,West Sirjetown,55098,Kolk Stream 78,AT,Mank,,Hoferplatz 2
,EE,Lake Triin,47768,Aasa Land 144,EE,New Valentina,,Suvi Springs 104
,EE,North Kristina,78705,Rätsep Mill 49,AT,Radenthein,,Benjamin-Tischler-Platz 73
,NL,Hoofddorp,5788 LP,Saarsteeg 12,AT,Altheim,,Manuel-Schwendinger-Weg 5
,AT,Traismauer,9714,Neumayerplatz 30,EE,Urmasland,,Anna Fork 68
,NL,Vries,7387 RO,Youssefdreef 133,EE,Kasemaabury,,Tiiu Port 116
,EE,Remmelview,87595,Nurk Forges 31,AT,Dürnstein,,Grünwaldplatz 18
,NL,Vuren,2498 UD,Aliciahof 116,AT,Enns,,Alara-Reif-Weg 88
,EE,Gontšarovburgh,53738,Tiina Brooks 18,NL,Zevenhoven,,Jasmijnweg 8
,AT,Waidhofen an der Thaya,2791,Erhartstraße 85,NL,Westerhoven,,Sebastiaanhof 113
,EE,Annaview,19618,Aino Divide 11,AT,Schrattenthal,,Loiblplatz 8
,EE,Tiitside,89287,Valentina Stravenue 16,NL,Lobith,,Samsteeg 87
,AT,Althofen,2500,Mark-Rossmann-Ring 140,NL,Wetsens,,Zakarialaan 46
,NL,Hidaard,1008 JC,Jasperhof 106,AT,Waidhofen an der Thaya,,Wilfingerring 135
,NL,Hidaard,1008 JC,Jasperhof 106,NL,Meterik,,Timpad 65
,NL,Stiens,8173 CV,Lindseyhof 123,AT,Oberpullendorf,,Weissplatz 30
,NL,Echteld,6042 AC,Berendpad 16,AT,Raabs an der Thaya,,Scharfstr. 101
,NL,Blokzijl,8697 EV,Madeliefstraat 141,EE,Viksburgh,,Viktor Points 24
,AT,Altheim,2279,Manuel-Schwendinger-Weg 5,EE,Gontšarovburgh,,Tiina Brooks 18
,AT,Baden,1873,Barbara-Mitterlehner-Gasse 123,AT,Ternitz,,Justin-Gross-Straße 126
,AT,Schrattenthal,5869,Elisabeth-Rössler-Ring 94,NL,Punthorst,,Suzepad 34
,AT,Ferlach,6055,Fernando-Polzer-Platz 77,EE,Enebury,,Müür Park 111
,NL,Zevenhoven,4578 MH,Jasmijnweg 8,AT,Wels,,Laureen-Brenner-Ring 121
,NL,Makkum,1350 SM,Noortjesteeg 33,NL,Schaijk,,Juliesingel 112
,NL,Pietersbierum,2476 JN,Emmapad 48,NL,De Zilk,,Sennalaan 52
,EE,North Jekaterinastad,97935,Pavel Lock 86,NL,Loënga,,Nadiaring 94
,AT,Oberwälz,7370,Schützstraße 103,NL,Ewijk,,Lukahof 42
,EE,North Natalja,19732,Lebedev Extensions 76,NL,Zijdewind,,Aydenstraat 36
,NL,Oud Zuilen,5579 YN,Lukassteeg 84,AT,Oberndorf bei Salzburg,,Franz-Marx-Straße 1
,NL,Stiens,8173 CV,Lindseyhof 123,AT,Drosendorf-Zissersdorf 1,,Maurerstraße 58
,AT,Bad Vöslau,8890,Kainzring 49,EE,South Marina,,Kuningas Pike 147
,NL,Basse,5137 CW,Amirabaan 48,EE,Kuuskmouth,,Olga Hollow 46
,AT,Rottenmann,4634,Lara-Schön-Weg 67,NL,Deest,,Mayastraat 90
,NL,Oppenhuizen,7639 KX,Milahof 74,AT,Waidhofen an der Thaya,,Wilfingerring 135
,AT,Villach,2107,Verena-Riedmann-Straße 92,EE,North Irinaborough,,Priit Mount 91
,EE,South Jüri,41096,Sarap Crest 87,AT,Bad Radkersburg,,Wöhrerplatz 23
,AT,Ybbs an der Donau,8336,Helmstr. 61,AT,Schrems,,Matheo-Aschauer-Platz 119
,EE,Alexandermouth,54606,Jaan River 88,NL,Helvoirt,,Beratbaan 11
,NL,Simpelveld,2743 UN,Sennasteeg 120,EE,Port Antsmouth,,Raag Stream 119
,AT,Bruck an der Leitha,3820,Larissa-Eberharter-Ring 62,EE,West Sirjetown,,Kolk Stream 78
,AT,Jennersdorf,4114,Nikola-Schwab-Ring 3,AT,Schärding,,Sabine-Burtscher-Gasse 108
,NL,Vries,7387 RO,Youssefdreef 133,EE,Toomasberg,,Anu Trace 90
,AT,Völkermarkt,7251,John-Varga-Straße 113,AT,Schrems,,Richard-Dorner-Weg 104
,AT,Rottenmann,2285,Madeleine-Teufl-Ring 6,NL,Vuren,,Aliciahof 116
,EE,Enebury,74120,Müür Park 111,AT,Mariazell,,Matilda-Scherzer-Gasse 129
,EE,Elenaville,91331,Maksim Crest 99,AT,Sankt Valentin,,Kalteneggerring 37
,AT,Mautern an der Donau,9776,Isabella-Trinkl-Platz 135,AT,Feldkirchen,,Walterplatz 132
,AT,Purkersdorf,1916,Henrik-Reinprecht-Straße 8,AT,Zwettl,,Jessica-Bachmann-Straße 83
,NL,Tripscompagnie,8550 YW,Veerlehof 31,NL,Simpelveld,,Sennasteeg 120
,AT,Köflach,1969,Fleischmanngasse 147,NL,Schaijk,,Juliesingel 112
,NL,Dreumel,5051 YZ,Stenpad 39,AT,Traun,,Igor-Grüner-Weg 111
,AT,Frohnleiten,1017,Juliana-Kössler-Ring 18,EE,Port Antsmouth,,Raag Stream 119
,NL,Mander,9197 HA,Mehmetstraat 86,NL,Broekhuizenvorst,,Milanlaan 109
,EE,West Sirjetown,55098,Kolk Stream 78,AT,Wieselburg,,Ellergasse 123
,EE,Lake Irinatown,86538,Laht Mews 133,EE,Viktoriashire,,Tamme Port 139
,EE,West Sirjetown,55098,Kolk Stream 78,EE,West Anna,,Olga Key 51
,EE,North Marekbury,94678,Jaan Lights 107,NL,'s-Graveland,,Mikepad 33
,AT,Amstetten,9831,Reischlstraße 16,NL,Makkum,,Noortjesteeg 33
,AT,Ternitz,4294,Justin-Gross-Straße 126,AT,Pregarten,,Karoline-Horak-Gasse 146
,EE,West Sirjetown,55098,Kolk Stream 78,AT,Rottenmann,,Lara-Schön-Weg 67
,NL,Wetsens,5380 XN,Zakarialaan 46,NL,Pietersbierum,,Emmapad 48
,AT,Oberndorf bei Salzburg,2976,Franz-Marx-Straße 1,NL,Makkum,,Noortjesteeg 33
,NL,Tienray,9511 QK,Evelienpad 133,EE,Remmelview,,Nurk Forges 31
,NL,Reeuwijk,9251 OB,Jurrering 133,EE,West Andrei,,Jelena Rapid 28
,AT,Marchtrenk,7718,Claire-Posch-Ring 75,EE,East Alexanderhaven,,Anne Manor 145
,AT,Neulengbach,9365,Florentina-Schweitzer-Gasse 39,AT,Leoben,,Konstantin-Koller-Ring 94
,AT,Frohnleiten,1017,Juliana-Kössler-Ring 18,EE,South Marina,,Kuningas Pike 147
,NL,'s-Graveland,5492 CV,Mikepad 33,NL,Tripscompagnie,,Veerlehof 31
,AT,Wolfsberg,8575,Laureen-Heindl-Gasse 109,EE,Lake Annelistad,,Laura Lodge 8
,AT,Ferlach,6055,Fernando-Polzer-Platz 77,NL,Nieuw-Weerdinge,,Deandreef 26
,AT,Gänserndorf,8049,Nikolai-Scheucher-Ring 93,EE,Port Antsmouth,,Raag Stream 119
,AT,Rottenmann,2285,Madeleine-Teufl-Ring 6,NL,Nieuw-Weerdinge,,Deandreef 26
,EE,East Tiiuton,54724,Rand Point 116,AT,Landeck,,Fitzstraße 14
,AT,Stadtschlaining,9765,Lisa-Wöhrer-Straße 147,EE,Andreiside,,Anne Stravenue 82
,AT,Bad Leonfelden,2034,Estelle-Suppan-Platz 79,EE,New Viktoria,,Marek Fords 19
,NL,Westerhoven,4010 ND,Sebastiaanhof 113,AT,Waidhofen an der Thaya,,Erhartstraße 85
,AT,Baden,1873,Barbara-Mitterlehner-Gasse 123,AT,Freistadt,,Buchbergerring 81
,AT,Retz,6077,Steinlechnerring 79,AT,Althofen,,Mark-Rossmann-Ring 140
,NL,Zijdewind,2212 BB,Aydenstraat 36,AT,Mank,,Hoferplatz 2
,NL,Blesdijke,7031 CH,Carlijnsteeg 86,AT,Bad Radkersburg,,Wöhrerplatz 23
,AT,Schrattenthal,5709,Elyas-Pieber-Gasse 121,NL,Laag-Keppel,,Emmabaan 11
,AT,Eggenburg,1653,Veronika-Himmelbauer-Straße 79,EE,Vladimirville,,Maria Stream 106
,NL,Zevenhoven,4578 MH,Jasmijnweg 8,EE,Malleton,,Raadik Junctions 95
,EE,Annaview,19618,Aino Divide 11,AT,Schrattenthal,,Elisabeth-Rössler-Ring 94
,EE,North Kristina,78705,Rätsep Mill 49,EE,North Kristjan,,Tiina Fork 142
,EE,Põderberg,78693,Ossipov Road 24,AT,Völkermarkt,,John-Varga-Straße 113
,EE,Kasemaabury,83887,Tiiu Port 116,AT,Frohnleiten,,Reichmannweg 137
,EE,North Jekaterinastad,97935,Pavel Lock 86,AT,Hainfeld,,Zettlplatz 114
,AT,Liezen,4309,Lily-Rechberger-Ring 65,AT,Enns,,Reischlstr. 110
,AT,Schwechat,3793,Laureen-Nowak-Weg 135,AT,Ebenfurth,,Levi-Schweiger-Weg 114
,EE,Kisseljovside,33477,Aleksandr Knolls 104,EE,Kasemaabury,,Tiiu Port 116
,EE,New Roman,13028,Katrin Spur 147,AT,Traun,,Igor-Grüner-Weg 111
,NL,Uithoorn,9783 DD,Sebastiaanhof 142,EE,West Sirjetown,,Kolk Stream 78
,AT,Oberwälz,7370,Schützstraße 103,EE,Enebury,,Müür Park 111
,AT,Scheibbs,6984,Höflergasse 51,AT,Gänserndorf,,Nikolai-Scheucher-Ring 93
,EE,Tuulikstad,28046,Novikov Place 120,AT,Oberndorf bei Salzburg,,Franz-Marx-Straße 1
,NL,Wijnjewoude,1022 QH,Keanosingel 76,NL,Punthorst,,Larastraat 137
,AT,Mautern an der Donau,4451,Draxlergasse 17,NL,Lengel,,Pimstraat 126
,EE,Langtown,76772,Anna Inlet 146,NL,Lathum,,Amberhof 92
,EE,West Triin,45898,Nõmmik Views 107,NL,Renesse,,Britthof 19
,EE,Port Antsmouth,69810,Raag Stream 119,NL,Puttershoek,,Rikstraat 122
,AT,Leoben,7362,Konstantin-Koller-Ring 94,NL,Oud Zuilen,,Lukassteeg 84
,EE,Langtown,76772,Anna Inlet 146,AT,Hartberg,,Arda-Haindl-Ring 86
,AT,Waidhofen an der Ybbs,2963,Steinkellnergasse 54,AT,Rottenmann,,Elina-Wurzer-Platz 107
,EE,Alexandermouth,54606,Jaan River 88,AT,Ternitz,,Blauensteinerweg 102
,AT,Kufstein,2617,Dana-Edlinger-Straße 95,AT,Eggenburg,,Veronika-Himmelbauer-Straße 79
,AT,Grieskirchen,9040,Alexander-Kopf-Weg 18,EE,West Andrei,,Jelena Rapid 28
,NL,IJsselham,7370 DH,Merelhof 1,AT,Freistadt,,Buchbergerring 81
,EE,Põderberg,78693,Ossipov Road 24,AT,Klagenfurt,,Klausring 2
,NL,Dreischor,3354 WO,Martdreef 99,AT,Ybbs an der Donau,,Helmstr. 61
,AT,Fürstenfeld,9237,Nikolina-Kucera-Straße 39,EE,Kozlovborough,,Paju Court 56
,EE,West Andrei,67560,Jelena Rapid 28,AT,Bad Vöslau,,Kainzring 49
,NL,Basse,5137 CW,Amirabaan 48,NL,Voorthuizen,,Tiesweg 137
,EE,Lake Triin,47768,Aasa Land 144,AT,Zwettl,,Jessica-Bachmann-Straße 83
,EE,Viktormouth,49275,Kiil Parks 137,NL,Hidaard,,Jasperhof 106
,AT,Kindberg,3707,Selena-Rohrer-Gasse 137,EE,Lake Annelistad,,Laura Lodge 8
,EE,Viksburgh,72061,Viktor Points 24,AT,Ternitz,,Justin-Gross-Straße 126
,EE,North Tiiuville,20501,Reet Club 38,AT,Bruck an der Leitha,,Larissa-Eberharter-Ring 62
,AT,Gänserndorf,8049,Nikolai-Scheucher-Ring 93,NL,IJsselham,,Merelhof 1
,EE,Kuuskmouth,18589,Olga Hollow 46,NL,Steenenkamer,,Livsteeg 9
,EE,West Andrei,67560,Jelena Rapid 28,NL,Westerbroek,,Fennasteeg 133
,AT,Schrems,5265,Richard-Dorner-Weg 104,EE,Kisseljovside,,Aleksandr Knolls 104
,AT,Traismauer,9714,Neumayerplatz 30,EE,Triinfurt,,Pukk Mission 3
,AT,Gmunden,9449,Aignergasse 94,EE,South Marina,,Kuningas Pike 147
,NL,Wieringerwaard,4884 ND,Sennapad 149,EE,Reetbury,,Kaasik Field 107
,AT,Rottenmann,4988,Elina-Wurzer-Platz 107,AT,Sankt Valentin,,Cornelius-Mitterer-Ring 83
,AT,Oberndorf bei Salzburg,2976,Franz-Marx-Straße 1,EE,East Anneburgh,,Luik Garden 129
,NL,Udenhout,8151 AR,Milanpad 127,AT,Freistadt,,Buchbergerring 81
,AT,Radenthein,3684,Stecherstraße 1,AT,Neunkirchen,,Boris-Ladner-Platz 8
,EE,Langtown,76772,Anna Inlet 146,EE,Port Viktor,,Anu Isle 106
,EE,South Jüri,41096,Sarap Crest 87,EE,Port Antsmouth,,Raag Stream 119
,AT,Landeck,2308,Fitzstraße 14,NL,Haren Gn,,Merlehof 84
,AT,Ternitz,4294,Justin-Gross-Straße 126,EE,Kasemaabury,,Tiiu Port 116
,AT,Rottenmann,4988,Elina-Wurzer-Platz 107,AT,Dürnstein,,Calvin-Kasper-Straße 46
,AT,Mistelbach an der Zaya,1305,Adamweg 34,AT,Innsbruck,,Leopold-Krainer-Platz 29
,EE,Kozlovborough,21696,Paju Court 56,NL,Stiens,,Lindseyhof 123
,EE,Tõnuland,95547,Riina Gardens 123,AT,Sankt Valentin,,Cornelius-Mitterer-Ring 83
,EE,Toomasberg,18879,Anu Trace 90,EE,Lake Tõnushire,,Aivar Street 42
,NL,De Zilk,5250 EI,Sennalaan 52,EE,North Tiiuville,,Reet Club 38
,NL,Renesse,9458 SS,Britthof 19,AT,Frohnleiten,,Juliana-Kössler-Ring 18
,EE,North Kristina,78705,Rätsep Mill 49,EE,New Jelena,,Kristi Creek 38
,AT,Hainburg an der Donau,5910,Stefanie-Suppan-Ring 31,AT,Dürnstein,,Grünwaldplatz 18
,EE,Õunburgh,72780,Nadežda Parkway 139,EE,North Romanfurt,,Priit Street 91
,AT,Völkermarkt,7251,John-Varga-Straße 113,AT,Baden,,Barbara-Mitterlehner-Gasse 123
,EE,East Nikolai,80378,Tarassov Mission 81,AT,Sankt Pölten,,Timon-Ecker-Ring 43
,AT,Schärding,2475,Neubacherweg 43,EE,West Sirjetown,,Kolk Stream 78
,AT,Hainburg an der Donau,5910,Stefanie-Suppan-Ring 31,AT,Bad Radkersburg,,Wöhrerplatz 23
,AT,Frohnleiten,9094,Anita-Trattner-Straße 85,AT,Schwechat,,Laureen-Nowak-Weg 135
,NL,Makkum,1350 SM,Noortjesteeg 33,AT,Ebenfurth,,Levi-Schweiger-Weg 114
,AT,Pregarten,5773,Karoline-Horak-Gasse 146,AT,Mautern an der Donau,,Draxlergasse 17
,EE,West Mihkelton,89155,Maslov Walk 8,EE,North Jekaterinastad,,Pavel Lock 86
,NL,Renesse,9458 SS,Britthof 19,AT,Ferlach,,Fernando-Polzer-Platz 77
,NL,Vries,7387 RO,Youssefdreef 133,EE,Tiitside,,Valentina Stravenue 16
,AT,Oberndorf bei Salzburg,5038,Luise-Reiter-Ring 102,AT,Mautern an der Donau,,Draxlergasse 17
,EE,Annaview,92404,Nadežda Spring 67,AT,Freistadt,,Buchbergerring 81
,NL,Basse,5137 CW,Amirabaan 48,EE,East Anneburgh,,Luik Garden 129
,AT,Innsbruck,2915,Leopold-Krainer-Platz 29,AT,Köflach,,Fleischmanngasse 147
,NL,Monster,6397 YM,Joepboulevard 18,EE,South Jaanuschester,,Ossipov Crossroad 139
,NL,Egmond-Binnen,6400 YE,Gerritring 67,EE,Alexandermouth,,Jaan River 88
,NL,Den Horn,7237 IN,Lotpad 136,EE,Kristiinaburgh,,Reet Port 145
,AT,Traun,9775,Igor-Grüner-Weg 111,EE,Maiefurt,,Oras Locks 130
,NL,2e Exloërmond,6794 GH,Vincebaan 98,AT,Feldkirchen,,Wirthstraße 27
,EE,Reetbury,64161,Kaasik Field 107,AT,Fürstenfeld,,Nikolina-Kucera-Straße 39
,AT,Kufstein,2617,Dana-Edlinger-Straße 95,AT,Wilhelmsburg,,Aichingerweg 17
,EE,New Jelena,89190,Kristi Creek 38,AT,Oberwälz,,Schützstraße 103
,NL,Vorden,9898 VS,Kyanboulevard 125,AT,Eggenburg,,Veronika-Himmelbauer-Straße 79
,AT,Amstetten,8952,Waldnergasse 42,NL,Schaijk,,Juliesingel 112
,EE,Port Viktor,23734,Anu Isle 106,AT,Oberndorf bei Salzburg,,Luise-Reiter-Ring 102
,NL,Vuren,2498 UD,Aliciahof 116,EE,Enebury,,Müür Park 111
,NL,Kuitaart,8918 NH,Bastiaanpad 40,AT,Amstetten,,Reischlstraße 16
,NL,Jouswier,4694 LZ,Liseboulevard 99,NL,Kuitaart,,Bastiaanpad 40
,EE,New Valentina,32408,Suvi Springs 104,EE,Kisseljovside,,Aleksandr Knolls 104
,NL,Hidaard,1008 JC,Jasperhof 106,AT,Wiener Neustadt,,Kernring 18
,EE,Jaanusburgh,44952,Gontšarov Square 129,NL,Simpelveld,,Sennasteeg 120
,AT,Waidhofen an der Thaya,5432,Wilfingerring 135,AT,Stadtschlaining,,Lisa-Wöhrer-Straße 147
,AT,Schwechat,3793,Laureen-Nowak-Weg 135,AT,Feldkirchen,,Walterplatz 132
,NL,IJsselham,7370 DH,Merelhof 1,AT,Mank,,Handlstr. 98
,NL,Venhorst,1059 KC,Mikastraat 133,NL,Oppenhuizen,,Milahof 74
,NL,Wapse,6493 TX,Aaliyahdreef 118,EE,Vainmouth,,Aino Cape 70
,EE,Enebury,74120,Müür Park 111,NL,Nieuw-Weerdinge,,Deandreef 26
,NL,Ewijk,3850 RP,Lukahof 42,AT,Frohnleiten,,Juliana-Kössler-Ring 18
,AT,Neunkirchen,3226,Boris-Ladner-Platz 8,NL,Nieuwe Pekela,,Rikdreef 97
,EE,East Alexanderhaven,35134,Anne Manor 145,AT,Krems an der Donau,,Foidlstr. 65
,NL,Hierden,5852 XF,Zoëweg 54,EE,New Roman,,Katrin Spur 147
