label,left_birthDate,left_email,left_gender,left_jobTitle,left_knowsLanguage,left_name,right_birthDate,right_email,right_gender,right_jobTitle,right_knowsLanguage,right_name
,1985-06-24,davidbaker@healthcare.org,Female,Podiatrist,et,David Baker,1993-10-10,stephenmiller@healthcare.org,Male,,et,nan
,1980-09-23,willieestrada@healthcare.org,Female,GI Nurse,nl,Willie Estrada,1968-01-12,justinnguyen@healthcare.org,Male,,de,nan
,1964-06-05,courtneymiller@healthcare.org,Female,Anesthesia Assistant,et,Courtney Miller,1961-09-06,kevinfernandez@healthcare.org,Male,,de,nan
,1985-05-06,andreamiller@healthcare.org,Other,Gynecologist,de,Andrea Miller,1989-09-11,lisameyers@healthcare.org,Female,,de,nan
,1959-11-22,andrewnorris@healthcare.org,Other,MRI Technologist,de,Andrew Norris,1969-10-06,davidmurphy@healthcare.org,Male,,de,nan
,1992-07-30,lisaedwards@healthcare.org,Other,Community Outreach Specialist,de,Lisa Edwards,1965-11-12,marykennedy@healthcare.org,Female,,et,nan
,1974-04-23,christophermullins@healthcare.org,Male,Pulmonary Function Technologist,nl,Christopher Mullins,1972-10-27,benjaminshepard@healthcare.org,Female,,nl,nan
,1992-12-11,markpowell@healthcare.org,Female,Endocrine Nurse,nl,Mark Powell,1996-01-17,noahmcdaniel@healthcare.org,Female,,de,nan
,1981-07-27,brookesalazar@healthcare.org,Male,Infectious Disease Specialist,de,Brooke Salazar,1995-08-15,codymitchell@healthcare.org,Other,,de,nan
,1977-08-06,cliffordblair@healthcare.org,Other,Community Health Worker,et,Clifford Blair,1980-05-17,lindaknight@healthcare.org,Male,,et,nan
,1993-12-09,hunterstanton@healthcare.org,Female,Doula,nl,Hunter Stanton,1960-10-08,kennethstewart@healthcare.org,Female,,de,nan
,1966-05-27,cindymolina@healthcare.org,Other,Primary Care Nurse,nl,Cindy Molina,1965-02-06,drashleyparkdds@healthcare.org,Male,,de,nan
,1996-03-19,rachelchan@healthcare.org,Other,Morgue Attendant,et,Rachel Chan,1986-06-13,jeffreypham@healthcare.org,Other,,et,nan
,1995-10-02,lindacain@healthcare.org,Female,Arthritis Specialist,nl,Linda Cain,1967-07-06,suekelly@healthcare.org,Female,,de,nan
,1989-11-22,bretttaylor@healthcare.org,Other,Respiratory Therapist,de,Brett Taylor,1970-02-12,michaelpetersen@healthcare.org,Other,,de,nan
,1961-12-17,thomasfisher@healthcare.org,Other,Speech Pathologist,de,Thomas Fisher,1973-12-28,williambailey@healthcare.org,Other,,et,nan
,1965-09-06,sethwalter@healthcare.org,Other,Therapist,nl,Seth Walter,1990-04-20,pamelabowers@healthcare.org,Other,,et,nan
,1973-09-09,rickybruce@healthcare.org,Male,Cytotechnologist,et,Ricky Bruce,1970-10-12,kimberlyclark@healthcare.org,Other,,de,nan
,1960-12-04,christianhernandez@healthcare.org,Male,Pediatrician,et,Christian Hernandez,1999-01-02,michaeltaylor@healthcare.org,Other,,de,nan
,1969-02-24,sharonpeters@healthcare.org,Female,Psychologist,nl,Sharon Peters,1962-09-15,joshuasmith@healthcare.org,Male,,et,nan
,1973-10-18,melindalee@healthcare.org,Female,Surgical Nurse,nl,Melinda Lee,1960-02-17,pauladams@healthcare.org,Male,,nl,nan
