label,left_birthDate,left_email,left_gender,left_jobTitle,left_knowsLanguage,left_name,right_birthDate,right_email,right_gender,right_jobTitle,right_knowsLanguage,right_name
,1999-02-26,johnnywilliamsdds@healthcare.org,Male,Speech Therapist,de,Johnny Williams DDS,,,Female,EEG Technician,nl,Shawn Carson
,1975-11-08,elizabethleonard@healthcare.org,Male,Geneticist,de,Elizabeth Leonard,,,Male,Rehabilitation Specialist,de,Jade Burgess
,1980-06-24,jennifervelazquez@healthcare.org,Female,Epidemiologist,de,Jennifer Velazquez,,,Other,Family Physician,nl,Thomas Cruz
,1983-09-19,teresasmith@healthcare.org,Male,Toxicologist,nl,Teresa Smith,,,Male,EKG Technician,nl,Michael Wagner
,1964-08-20,jessicacole@healthcare.org,Female,Anesthesiology Nurse,et,Jessica Cole,,,Female,Obstetrician,de,Ashley Cunningham
,1981-10-22,hannahcurtis@healthcare.org,Male,Midwife,de,Hannah Curtis,,,Female,Orthopedic Surgeon,nl,Alyssa Williams
,1974-01-08,josephtrevino@healthcare.org,Male,Endocrinologist,de,Joseph Trevino,,,Other,Doula,et,Courtney Johnson
,1974-06-11,jessicawalker@healthcare.org,Male,Speech Therapist,de,Jessica Walker,,,Female,Lab Technician,de,Howard Hamilton
,1964-04-26,shawncarson@healthcare.org,Female,EEG Technician,nl,Shawn Carson,,,Female,Infectious Disease Specialist,de,Travis Davis
,1988-06-12,suzannehernandez@healthcare.org,Male,Urology Nurse,de,Suzanne Hernandez,,,Female,Optometrist,et,Holly Prince
,1979-04-29,derrickcoleman@healthcare.org,Other,Nurse Practitioner,nl,Derrick Coleman,,,Male,GI Technician,et,Mrs. Lindsay Shaffer
,1996-01-26,elizabethchan@healthcare.org,Male,GI Technician,de,Elizabeth Chan,,,Male,General Practitioner,nl,Melissa Stephens
,1996-03-24,annatucker@healthcare.org,Female,Histology Technician,et,Anna Tucker,,,Male,Skin Care Specialist,et,Ashley Schneider
