label,left_addressCountry,left_addressLocality,left_postalCode,left_streetAddress,right_addressCountry,right_addressLocality,right_postalCode,right_streetAddress
,NL,Oud Zuilen,5579 YN,Lukassteeg 84,NL,Oud Zuilen,5579 YN,
,EE,Andreiside,45067,Anne Stravenue 82,EE,Andreiside,45067,
,EE,Reetbury,64161,Kaasik Field 107,EE,Reetbury,64161,
,NL,Lengel,3250 EH,Pimstraat 126,NL,Lengel,3250 EH,
,AT,Sankt Valentin,3787,Cornelius-Mitterer-Ring 83,AT,Sankt Valentin,3787,
,AT,Hainburg an der Donau,5910,Stefanie-Suppan-Ring 31,AT,Hainburg an der Donau,5910,
,EE,Lake Raivo,33773,Sutt Route 145,EE,Lake Raivo,33773,
,AT,Ternitz,4294,Justin-Gross-Straße 126,AT,Ternitz,4294,
,NL,Sint Jansklooster,9210 KF,Noorweg 85,NL,Sint Jansklooster,9210 KF,
,NL,Vorden,9898 VS,Kyanboulevard 125,NL,Vorden,9898 VS,
