label,left_addressCountry,left_addressLocality,left_postalCode,left_streetAddress,right_addressCountry,right_addressLocality,right_postalCode,right_streetAddress
,NL,Oud Zuilen,5579 YN,Lukassteeg 84,NL,Oud Zuilen,,Lukassteeg 84
,EE,Andreiside,45067,Anne Stravenue 82,EE,Andreiside,,Anne Stravenue 82
,EE,Reetbury,64161,Kaasik Field 107,EE,Reetbury,,Kaasik Field 107
,NL,Lengel,3250 EH,Pimstraat 126,NL,Lengel,,Pimstraat 126
,AT,Sankt Valentin,3787,Cornelius-Mitterer-Ring 83,AT,Sankt Valentin,,Cornelius-Mitterer-Ring 83
,AT,Hainburg an der Donau,5910,Stefanie-Suppan-Ring 31,AT,Hainburg an der Donau,,Stefanie-Suppan-Ring 31
,EE,Lake Raivo,33773,Sutt Route 145,EE,Lake Raivo,,Sutt Route 145
,AT,Ternitz,4294,Justin-Gross-Straße 126,AT,Ternitz,,Justin-Gross-Straße 126
,NL,Sint Jansklooster,9210 KF,Noorweg 85,NL,Sint Jansklooster,,Noorweg 85
,NL,Vorden,9898 VS,Kyanboulevard 125,NL,Vorden,,Kyanboulevard 125
