label,left_birthDate,left_email,left_gender,left_jobTitle,left_knowsLanguage,left_name,right_birthDate,right_email,right_gender,right_jobTitle,right_knowsLanguage,right_name
,1990-03-17,shawngreen@healthcare.org,Other,Obstetric Nurse,nl,Shawn Green,,,Other,Obstetric Nurse,nl,Shawn Green
,1983-11-14,taylorrios@healthcare.org,Male,Midwife,et,Taylor Rios,,,Male,Midwife,et,Taylor Rios
,1981-11-16,alexandriajones@healthcare.org,Female,Podiatrist,et,Alexandria Jones,,,Female,Podiatrist,et,Alexandria Jones
,1997-12-23,joshuabarnett@healthcare.org,Female,Foot Care Nurse,de,Joshua Barnett,,,Female,Foot Care Nurse,de,Joshua Barnett
,1983-03-05,sheilajohnson@healthcare.org,Other,Poison Control Specialist,nl,Sheila Johnson,,,Other,Poison Control Specialist,nl,Sheila Johnson
,1981-07-17,jordanlopez@healthcare.org,Male,Poison Control Specialist,et,Jordan Lopez,,,Male,Poison Control Specialist,et,Jordan Lopez
,1977-03-30,chasesnyder@healthcare.org,Other,Medical Assistant,et,Chase Snyder,,,Other,Medical Assistant,et,Chase Snyder
,1987-10-14,ronniegibson@healthcare.org,Male,Primary Care Nurse,de,Ronnie Gibson,,,Male,Primary Care Nurse,de,Ronnie Gibson
,1995-10-02,lindacain@healthcare.org,Female,Arthritis Specialist,nl,Linda Cain,,,Female,Arthritis Specialist,nl,Linda Cain
,1975-04-30,robinjohnson@healthcare.org,Male,Arthritis Specialist,et,Robin Johnson,,,Male,Arthritis Specialist,et,Robin Johnson
