label,left_addressCountry,left_addressLocality,left_postalCode,left_streetAddress,right_addressCountry,right_addressLocality,right_postalCode,right_streetAddress
,AT,Kufstein,2617,Dana-Edlinger-Straße 95,AT,Trieben,6473 ,Frida-Yilmaz-Gasse 127
,NL,Oppenhuizen,7639 KX,Milahof 74,AT,Zistersdorf,8052 ,Aleksandra-Friedrich-Straße 11
,AT,Ybbs an der Donau,8336,Helmstr. 61,EE,Jevgenfort,84956,Kadri Island 34
,NL,Jouswier,4694 LZ,Liseboulevard 99,EE,Viksburgh,72061 ,Viktor Points 24
,AT,Poysdorf,9968,Reichlgasse 149,Austria,Schrattenthal,9535,Loiblplatz 8
,EE,Lake Triin,47768,Aasa Land 144,AT,Marcchtrenk,4437,Hofstätterring 12
,AT,Sankt Valentin,3787,Cornelius-Mitterer-Ring 83,EE,Remmelvieew,87595,Nurk Forges 31
,NL,Echteld,7621 AK,Bilalring 122,NL,Echteeld,6042 AC,Berendpad 16
,EE,Tiitside,89287,Valentina Stravenue 16,NL,Punthorst,2368YL,Suzepad 34
,AT,Enns,6783,Reischlstr. 110,EE,Jaanusborough,52268,Diana Island 107C
,AT,Mautern an der Donau,4451,Draxlergasse 17,NL,Punthrost,7086 LB,Larastraat 137
,AT,Baden,1873,Barbara-Mitterlehner-Gasse 123,NL,Tienray,9511QK,Evelienpad 133
,EE,Toomasberg,18879,Anu Trace 90,NL,Laag-Keppel,5912 EL,Emmabaan 11B
,EE,North Irinaborough,12187,Priit Mount 91,EE,Vainmouth,72093 ,Aino Cape 70
,NL,Sleen,5361 RW,Linnbaan 30,Austria,Rottenmann,6888,Maida-Kocher-Straße 11
,AT,Oberwälz,7370,Schützstraße 103,Austria,Raabs an der Thaya,9317,Scharfstr. 101
,AT,Pregarten,5773,Karoline-Horak-Gasse 146,AT,Leibnitz,7672,Doblerplatz 23B
,NL,Tonden,6650 HE,Sophiepad 68,AT,DÃ¼rsntein,5667,Dana-Neumayr-Straße 111
,NL,Nieuw-Weerdinge,1897 GE,Deandreef 26,AT,Leoben,7362 ,Konstantin-Koller-Ring 94
,AT,Rottenmann,4988,Elina-Wurzer-Platz 107,NL,Echteld,7621 AK,Bilalring 122A
,EE,Eveshire,98391,Tamara Trafficway 105,EE,West Sirjetown,55098,Kolk Stream 78C
,EE,Port Viktor,23734,Anu Isle 106,Austria,Raabs an der Thaya,9317,Scharfstr. 101
,AT,Innsbruck,2915,Leopold-Krainer-Platz 29,Austria,Purbach am Neusiedler See,2252,Milo-Jauk-Ring 63
,NL,Nieuw-Weerdinge,1897 GE,Deandreef 26,EE,Port Alekseiand,37382,Aino Plains 117
,NL,Renesse,9458 SS,Britthof 19,EE,Malldeton,24650,Raadik Junctions 95
,NL,Meterik,9641 EG,Timpad 65,AT,Wiener Neustadt,1976,Kernring 18C
,NL,Grubbenvorst,1868 RZ,Johannasingel 43,EE,Reetbury,64161 ,Kaasik Field 107
,EE,Pulkmouth,57994,Kalmus Trail 111,AT,Feldkirchen,9505,WirthstraÃe 27C
,EE,West Sirjetown,55098,Kolk Stream 78,Austria,Rottenmann,6888,Maida-Kocher-Straße 11
,AT,Oberndorf bei Salzburg,2976,Franz-Marx-Straße 1,EE,Triinfurt,51891 ,Pukk Mission 3
,EE,North Marekbury,94678,Jaan Lights 107,EE,Lake  Annelistad,34954,Laura Lodge 8
,EE,East Sander,51250,Urb Point 70,AT,Leibnitz,5161,Pendlring 71C
,EE,Viksburgh,72061,Viktor Points 24,EE,Kuuskmouth,18589,Olga Hollow 46A
,AT,Rottenmann,4634,Lara-Schön-Weg 67,EE,New Valentina,32408,Suvi Springs 104A
,EE,Annaview,19618,Aino Divide 11,AT,Bda Hall,7287,Fritschstraße 10
,NL,Punthorst,2368 YL,Suzepad 34,AT,Dornbirn,6636 ,Erhartgasse 8
,NL,Sint Jansklooster,9210 KF,Noorweg 85,NL,Laag-Keppel,5912 EL,Emmabaan 11B
,NL,Sint Jansklooster,9210 KF,Noorweg 85,NL,Trijpscompagnie,8550 YW,Veerlehof 31
,AT,Gmunden,9449,Aignergasse 94,Austria,Klagenfurt,4852,Klausring 2
,AT,Mariazell,5414,Matilda-Scherzer-Gasse 129,Estonia,New Jelena,89190,Kristi Creek 38
,AT,Bad Leonfelden,2034,Estelle-Suppan-Platz 79,AT,Zistersdorf,8052 ,Aleksandra-Friedrich-Straße 11
,AT,Judenburg,8262,Jennifer-Bernhard-Gasse 77,AT,Mattersburg,6922,UrbanstraÃe 86B
,AT,Wörgl,1110,Calvin-Mitter-Straße 50,EE,Annuscehster,41165,Laas Stream 41
,AT,Baden,1873,Barbara-Mitterlehner-Gasse 123,NL,Blokzijl,8697EV,Madeliefstraat 141
,EE,East Tiiuton,54724,Rand Point 116,Estonia,East Anneburgh,58498,Luik Garden 129
,EE,Viksburgh,72061,Viktor Points 24,Netherlands,IJsselham,7370 DH,Merelhof 1
,AT,Krems an der Donau,6060,Foidlstr. 65,AT,Schwanestadt,1006,Petra-Falkner-Straße 107
,EE,Kristiinaburgh,43198,Reet Port 145,NL,Simpelveld,2743 UN,Sennasteeg 120B
