label,left_availableLanguage,left_contactType,left_email,left_faxNumber,left_telephone,right_availableLanguage,right_contactType,right_email,right_faxNumber,right_telephone
,['de'],Appointments,Guerrero.Public@dept.healthcare.org,(289)805-1688,442-706-5159x5631,"['et', 'en']",hÃ¤daolukord,Garrett.Anesthesia@dept.healthcare.org,+1-655-948-4207x39657,473-772-9840
,['nl'],Emergency,FaulknerHoward.Rheumatologic@dept.healthcare.org,+31(0)11-9752436,0388-571688,['de'],Emergency,LoepzKey.Dentistry@dept.healthcare.org,864.370.2527x33127,352-764-2213x857
,['nl'],Administrative,FaulknerHoward@healthcare.org,+31578 156593,021-9489241,['de'],Emergency,LoepzKey.Dentistry@dept.healthcare.org,864.370.2527x33127,352-764-2213x857
,"['et', 'en']",Information,Carter.Pulmonary@dept.healthcare.org,001-346-443-2133x440,491.388.2159,"['de', 'en']",Notfall,Newton.Endocrine@dept.healthcare.org,9515762700,964-588-3497x992
,['nl'],Information,Lam.Gynecologic@dept.healthcare.org,(061)-5012116,0411 389532,"['et', 'en']",suunamine,Mathis.Toxicologic@dept.healthcare.org,(532)537-9645x24465,538.395.0218x13265
,"['nl', 'en']",Appointments,PriceRobinson.Obstetric@dept.healthcare.org,0879 859362,(031)-9509423,['de'],Appointments,Guerrero.Publiic@dept.healthcare.org,(289)805-1688,442-706-5159x5631
,"['et', 'en']",Appointments,Green.Genetic@dept.healthcare.org,001-374-244-3600,+1-407-382-8239,"['de', 'en']",Allgemeine Anfragen,Williams@healthcare.org,(224)255-5159,(690)297-7658x236
,"['nl', 'en']",Appointments,Nash.Anesthesia@dept.healthcare.org,(0083) 787995,040 0925263,"['et', 'en']",ametisse nimetamine,Carter.Cardiovascular@dept.healthcare.org,504.730.3584x06533,(576)959-0019x977
,['nl'],Staff,BuckBurke.Primary@dept.healthcare.org,+31(0)733 359514,+31115 101824,['de'],Emergency,LoepzKey.Dentistry@dept.healthcare.org,864.370.2527x33127,352-764-2213x857
,['et'],Staff,Austin.Rheumatologic@dept.healthcare.org,(890)673-4942x31631,(403)407-5452x6468,['nl'],Appointments,SantanaShaw.Dentistry@dept.healthcare.nl,+3146-2082263,+31419-921707
,['nl'],Referrals,Nash.Nursing@dept.healthcare.org,041 5604324,053 6068424,"['nl', 'en']",afspraken,WilliamsWilliams.Oncologic@dept.healthcare.org,+31(0)943-281583,+3105-5131860
,"['et', 'en']",Referrals,LongMartinez.Hematologic@dept.healthcare.org,001-861-780-8548x852,8724383779,"['de', 'en']",Emergency,Willliams.Public@dept.healthcare.org,+1-801-626-6923x81006,369.274.0297
,"['nl', 'en']",Staff,Lam.Obstetric@dept.healthcare.org,069 8057358,(091)-0046863,"['nl', 'en']",Appointments,Riggs.Emergency@dept.healthcare.nl,027-6331162,010 4402155
,"['nl', 'en']",Staff,BuckBurke.Pathology@dept.healthcare.org,+31(0)62-6422329,060 0853882,"['de', 'en']",Emergency,Smth.Midwifery@dept.healthcare.org,001-688-531-1568,001-868-851-8970x3860
,['et'],Appointments,Brady.Cardiovascular@dept.healthcare.org,+1-829-821-2282,+1-245-243-6001x29592,"['de', 'en']",Emergency,Smith.Pulmonary@dept.healthcare.de,001-729-457-2827,+1-910-395-3515x25390
,['de'],Billing,ReedFry@healthcare.org,(910)501-5751x7594,(612)420-9981x39981,['nl'],Staff,WilliamsWilliams.Community@dept.healthcare.nl,+31894 020185,090-0938555
,"['de', 'en']",Appointments,Baker.Optometric@dept.healthcare.org,001-677-770-8160x985,601.890.5258,['de'],Ãberweisungen,Obrien.Gastroenterologic@dept.healthcare.org,+1-754-412-2438x90681,325.313.9825x177
,['et'],Staff,Austin.Rheumatologic@dept.healthcare.org,(890)673-4942x31631,(403)407-5452x6468,['nl'],Staff,PriceRobinson..Emergency@dept.healthcare.org,+3113 1233851,(0361) 141526
,"['de', 'en']",Information,LeePatton.Infectious@dept.healthcare.org,(515)498-3601,001-366-736-9526x455,"['nl', 'en']",noodgeval,Riggs.Primary@dept.healthcare.org,0724-240035,0426-963913
,"['nl', 'en']",Appointments,Chan.Rheumatologic@dept.healthcare.org,0759-981290,+31(0)73 0808776,"['et', 'en']",Referrals,Daniel.Neurologic@dept.healthcare.et,7762925773,876-767-5502x71852
,"['et', 'en']",Emergency,Arnold.Nursing@dept.healthcare.org,375-594-9393,+1-660-751-7435x7670,"['et', 'en']",Referrals,Garrett.Podiatriic@dept.healthcare.org,364-678-0347x103,936.734.8282
,['de'],Referrals,Smith.Gastroenterologic@dept.healthcare.org,001-414-790-6456,001-545-371-0054x6936,"['nl', 'en']",Appointments,Chan.Rhematologic@dept.healthcare.org,0759-981290,+31(0)73 0808776
,['de'],Referrals,Obrien.Diet@dept.healthcare.org,+1-675-496-3345,+1-432-267-7778x59022,['de'],Staff,Baker.Gastroenterologic@dept.healthcare.de,(230)733-7758x92537,584-725-0107
,['et'],General Inquiries,Arnold@healthcare.org,795-239-8522,600.540.4943x8856,['de'],Notfall,Williams.Gastroenterologic@dept.healthcare.org,319-438-1357,(844)892-6012
,['de'],Information,Garcia.Podiatric@dept.healthcare.org,(629)287-1395,672.893.9656,"['et', 'en']",Staff,Fimsher.Public@dept.healthcare.org,+1-559-950-7694,(383)248-6763
,['et'],Emergency,Green.Anesthesia@dept.healthcare.org,+1-559-731-8734x648,592-453-2482x89177,['de'],Appointments,Smith.Speech@dept.healthcare.de,313-281-1819,+1-916-238-0262x16583
,['et'],Information,Daniel.Dentistry@dept.healthcare.org,(203)528-0312,507-800-2072,"['et', 'en']",teave,Carter.Pulmonary@dept.healthcare.org,001-346-443-2133x440,491.388.2159
,['nl'],Appointments,WilliamsWilliams.Infectious@dept.healthcare.org,(0417) 241258,+31(0)559-254972,"['nl', 'en']",verwijzingen,PriceRobinson.Endocrine@dept.healthcare.org,013 7153472,+31926-844529
,"['nl', 'en']",Information,BuckBurke.Pulmonary@dept.healthcare.org,+31300-477006,0520 195182,['de'],Referrals,Garcgia.Public@dept.healthcare.org,5768910649,+1-752-463-3297x96930
,"['nl', 'en']",Staff,BuckBurke.Pathology@dept.healthcare.org,+31(0)62-6422329,060 0853882,['de'],Emergency,Sith.Pathology@dept.healthcare.org,(203)449-4197x29415,962-548-4908x482
,"['nl', 'en']",Appointments,Riggs.Emergency@dept.healthcare.org,027-6331162,010 4402155,['nl'],Appointments,ValenciaThomas.Otolaryngologic@dept.healthcare.nl,(064) 3422451,(0563) 689219
