label,left_birthDate,left_email,left_gender,left_jobTitle,left_knowsLanguage,left_name,right_birthDate,right_email,right_gender,right_jobTitle,right_knowsLanguage,right_name
,1965-04-22,cindyscott@healthcare.org,Male,Optician,de,Cindy Scott,1974-10-14,cathqerinemorales@healthcare.org,Male,Dermatologist,nl,C. Morales
,1973-03-09,normantucker@healthcare.org,Male,Audiologist,de,Norman Tucker,1994-30-10,michellemeyers@healthcare.org,Other,Urology Nurse,de,Michelle Meyers
,1968-10-29,darrenwang@healthcare.org,Male,Epidemiologist,de,Darren Wang,1981-08-17,caseywerner@healthcare.org,Other,EKG Technician,de,Werner Casey
,1967-11-09,judithwilson@healthcare.org,Female,Genetic Counselor,nl,Judith Wilson,1975-11-21,mrrobretaguilar@healthcare.org,Female,Speech Pathologist,et,M. Robert Aguilar
,1993-08-24,lisahorton@healthcare.org,Male,Gerontology Nurse,et,Lisa Horton,1972-09-17,wbyattmiller@healthcare.org,Female,Urologist,de,Miller Wyatt
,1965-07-08,victoriajohnson@healthcare.org,Male,Elderly Care Specialist,nl,Victoria Johnson,1991-02-18,melissaorberts@healthcare.org,Female,Hematology Nurse,de,Melissa Robrets
,1987-04-28,kimberlymills@healthcare.org,Other,Epidemiologist,et,Kimberly Mills,1993-10-04,anthonybentkley@healthcare.org,Male,Cardiovascular Surgeon,de,Anhtony Bentley
,1970-06-19,kylegibson@healthcare.org,Female,Clinical Genetics Specialist,et,Kyle Gibson,1986-11-20,tracybrrown@healthcare.org,Male,General Practitioner,de,Tnacy Brown
,1985-11-16,courtneyjohnson@healthcare.org,Other,Doula,et,Courtney Johnson,1997-07-09,sonyasaawyer@healthcare.org,Other,Environmental Health Officer,German,Sonya Sawyer
,1982-10-14,stephanieevans@healthcare.org,Male,Endocrine Nurse,de,Stephanie Evans,1988-04-29,diankaellis@healthcare.org,Male,Cardiologist,nl,Diaan Ellis
,1960-01-04,markknight@healthcare.org,Female,GI Nurse,et,Mark Knight,1996-07-03,mmrjamesmccann@healthcare.org,Female,Endocrinologist,de,Mr. James Mccann
,1959-08-20,amandadaniels@healthcare.org,Female,Emergency Medical Technician,et,Amanda Daniels,1975-05-23,amykely@healthcare.org,Other,Dentist,nl,A. Kelly
,1980-11-02,ericfox@healthcare.org,Male,Physical Therapist,de,Eric Fox,1982-04-25,morgmanlewis@healthcare.org,Male,Orthodontist,et,M. Lewis
,1975-05-23,amykelly@healthcare.org,Other,Dentist,nl,Amy Kelly,1980-07-30,samanthajackson@healthcare.org,Male,Speech Pathologist,German,Samantha Jackson
,1994-04-12,savannahmann@healthcare.org,Male,Speech Therapist,et,Savannah Mann,1968-12-26,gabriellking@healthcare.org,Male,Women's Health Nurse,et,G. King
,1973-05-08,brianwright@healthcare.org,Male,Dietitian,et,Brian Wright,1987-11-17,caameronbullock@healthcare.org,Male,Audiologist,et,C. Bullock
,1980-08-09,lindseyarnold@healthcare.org,Other,Therapist,et,Lindsey Arnold,1981-06-27,roxnaldwalters@healthcare.org,Male,Physical Therapy Assistant,de,Walters Ronald
,1961-12-12,kerryrodriguez@healthcare.org,Other,General Practitioner,nl,Kerry Rodriguez,1982-12-13,donaldgumzan@healthcare.org,Male,GI Technician,German,Donald Guzman
,1999-02-06,lorettatorres@healthcare.org,Female,Arthritis Specialist,et,Loretta Torres,1977-05-15,codystephenson@healthcare.org,Female,Pathologist,nl,Cdoy Stephenson
