label,left_addressCountry,left_addressLocality,left_postalCode,left_streetAddress,right_addressCountry,right_addressLocality,right_postalCode,right_streetAddress
,NL,Echteld,7621 AK,Bilalring 122,NL,Echteld,7621 AK,Bilalring 122A
,AT,Innsbruck,2915,Leopold-Krainer-Platz 29,AT,Innsbruck,2915,Leopold-Krainer-Platz 29A
,AT,Ternitz,7599,Blauensteinerweg 102,AT,Ternitz,7599,Blauensteinerweg 102C
,AT,Bruck an der Leitha,3820,Larissa-Eberharter-Ring 62,AT,Bruck an der Leitha,3820,Larissa-Eberharter-Ring 62C
,AT,Eggenburg,1653,Veronika-Himmelbauer-Straße 79,AT,Eggenburg,1653,Veronika-Himmelbauer-StraÃe 79C
,AT,Drosendorf-Zissersdorf 1,2067,Maurerstraße 58,AT,Drosendorf-Zissersdorf 1,2067,MaurerstraÃe 58A
,AT,Wiener Neustadt,1976,Kernring 18,AT,Wiener Neustadt,1976,Kernring 18C
,EE,Lake Raivo,33773,Sutt Route 145,EE,Lake Raivo,33773,Sutt Route 145A
,AT,Bad Hall,9626,Voglerstr. 135,AT,Bad Hall,9626,Voglerstr. 135A
,AT,Dürnstein,6578,Calvin-Kasper-Straße 46,AT,Dürnstein,6578,Calvin-Kasper-StraÃe 46B
,EE,Õunburgh,72780,Nadežda Parkway 139,EE,Ãunubrgh,72780,Nadežda Parkway 139
,NL,Deest,4644 TX,Mayastraat 90,NL,Deesst,4644 TX,Mayastraat 90
,NL,Kerkrade,2575 PB,Lilysingel 63,NL,Keerkrade,2575 PB,Lilysingel 63
,NL,De Zilk,5250 EI,Sennalaan 52,NL,De Zik,5250 EI,Sennalaan 52
,AT,Purkersdorf,1916,Henrik-Reinprecht-Straße 8,AT,Purukersdorf,1916,Henrik-Reinprecht-Straße 8
,EE,North Tiiuville,20501,Reet Club 38,EE,North iTiuville,20501,Reet Club 38
,EE,West Andrei,67560,Jelena Rapid 28,EE,WestAndrei,67560,Jelena Rapid 28
,AT,Traun,9775,Igor-Grüner-Weg 111,AT,Tmraun,9775,Igor-Grüner-Weg 111
,AT,Radenthein,3684,Stecherstraße 1,AT,Radentheein,3684,Stecherstraße 1
,EE,Langtown,76772,Anna Inlet 146,EE,Langton,76772,Anna Inlet 146
,AT,Klagenfurt,4852,Klausring 2,Austria,Klagenfurt,4852,Klausring 2
,AT,Scheibbs,6984,Höflergasse 51,Austria,Scheibbs,6984,Höflergasse 51
,EE,Alexandermouth,54606,Jaan River 88,Estonia,Alexandermouth,54606,Jaan River 88
,NL,Angeren,9800 AU,Daniweg 69,Netherlands,Angeren,9800 AU,Daniweg 69
,AT,Mautern an der Donau,4451,Draxlergasse 17,Austria,Mautern an der Donau,4451,Draxlergasse 17
,EE,Aderport,41550,Nikiforov Mountains 28,Estonia,Aderport,41550,Nikiforov Mountains 28
,EE,Ülleview,82106,Valeri Locks 82,Estonia,Ülleview,82106,Valeri Locks 82
,NL,IJsselham,7370 DH,Merelhof 1,Netherlands,IJsselham,7370 DH,Merelhof 1
,AT,Purbach am Neusiedler See,2252,Milo-Jauk-Ring 63,Austria,Purbach am Neusiedler See,2252,Milo-Jauk-Ring 63
,EE,Elenafort,10405,Sergey Forge 83,Estonia,Elenafort,10405,Sergey Forge 83
,NL,Wehl,3890 QA,Martsingel 139,NL,Wehl,3890QA,Martsingel 139
,AT,Trieben,3252,Melisa-Werner-Straße 111,AT,Trieben,3252 ,Melisa-Werner-Straße 111
,AT,Bischofshofen,8418,Stögergasse 56,AT,Bischofshofen,8418 ,Stögergasse 56
,AT,Groß-Enzersdorf,5588,Katharina-Stecher-Ring 136,AT,Groß-Enzersdorf,5588 ,Katharina-Stecher-Ring 136
,AT,Dornbirn,6636,Erhartgasse 8,AT,Dornbirn,6636 ,Erhartgasse 8
,AT,Grieskirchen,9040,Alexander-Kopf-Weg 18,AT,Grieskirchen,9040 ,Alexander-Kopf-Weg 18
,AT,Althofen,2500,Mark-Rossmann-Ring 140,AT,Althofen,2500 ,Mark-Rossmann-Ring 140
,AT,Trieben,6473,Frida-Yilmaz-Gasse 127,AT,Trieben,6473 ,Frida-Yilmaz-Gasse 127
,AT,Zistersdorf,8052,Aleksandra-Friedrich-Straße 11,AT,Zistersdorf,8052 ,Aleksandra-Friedrich-Straße 11
,AT,Oberwälz,7370,Schützstraße 103,AT,Oberwälz,7370 ,Schützstraße 103
