label,left_birthDate,left_email,left_gender,left_jobTitle,left_knowsLanguage,left_name,right_birthDate,right_email,right_gender,right_jobTitle,right_knowsLanguage,right_name
,1993-10-10,stephenmiller@healthcare.org,Male,Doula,et,Stephen Miller,1993-10-10,stephenmiller@healthcare.org,Male,Doula,et,Stephen Minler
,1973-06-08,carlfisher@healthcare.org,Male,ENT Specialist,nl,Carl Fisher,1973-06-08,carlfihser@healthcare.org,Male,ENT Specialist,nl,Carl Fisier
,1976-06-08,tanyamalone@healthcare.org,Male,Vision Therapist,et,Tanya Malone,1976-06-08,tanydamalone@healthcare.org,Male,Vision Therapist,et,Tanya Maloen
,1988-08-30,janetherring@healthcare.org,Other,Lung Function Technician,et,Janet Herring,1988-08-30,janetheerring@healthcare.org,Other,Lung Function Technician,et,Janket Herring
,1985-06-24,davidbaker@healthcare.org,Female,Podiatrist,et,David Baker,1985-06-24,davidbqaker@healthcare.org,Female,Podiatrist,et,Davd Baker
,1969-08-27,pamelajackson@healthcare.org,Male,Histology Technician,et,Pamela Jackson,1969-08-27,pamelajackon@healthcare.org,Male,Histology Technician,et,Pzamela Jackson
,1996-01-17,lauracook@healthcare.org,Other,Primary Care Nurse,nl,Laura Cook,1996-01-17,lauraacook@healthcare.org,Other,Primary Care Nurse,nl,Laugra Cook
,1971-05-21,chelseadavis@healthcare.org,Female,Public Health Officer,et,Chelsea Davis,1971-05-21,cheplseadavis@healthcare.org,Female,Public Health Officer,et,Chelsea Dauvis
,1996-11-13,dustinpena@healthcare.org,Female,Pathologist,et,Dustin Pena,1996-11-13,dsutinpena@healthcare.org,Female,Pathologist,et,Dustin Pean
,1997-02-22,terryhoffman@healthcare.org,Female,Lab Technician,nl,Terry Hoffman,1997-02-22,terrhyoffman@healthcare.org,Female,Lab Technician,nl,Tehry Hoffman
,1964-08-20,jessicacole@healthcare.org,Female,Anesthesiology Nurse,et,Jessica Cole,1964-08-20,jessicacolle@healthcare.org,Female,Anesthesiology Nurse,et,J. Cole
,1961-01-27,jerrygarcia@healthcare.org,Female,Registered Nurse,nl,Jerry Garcia,1961-01-27,jerrygarcia@healthcare.org,Female,Registered Nurse,nl,J. Garcia
,1996-03-24,annatucker@healthcare.org,Female,Histology Technician,et,Anna Tucker,1996-03-24,annatucker@healthcare.org,Female,Histology Technician,et,A. Tucker
,1961-08-13,stephaniekelly@healthcare.org,Female,Epidemiologist,et,Stephanie Kelly,1961-08-13,stephaniekely@healthcare.org,Female,Epidemiologist,et,S. Kelly
,1968-02-18,donaldanderson@healthcare.org,Female,Cosmetic Surgery Nurse,nl,Donald Anderson,1968-02-18,donaldandersoon@healthcare.org,Female,Cosmetic Surgery Nurse,nl,D. Anderson
,1970-08-13,sarahsmith@healthcare.org,Male,Community Health Worker,de,Sarah Smith,1970-08-13,sarjahsmith@healthcare.org,Male,Community Health Worker,de,S. Smith
,1968-06-06,josephstewart@healthcare.org,Other,Diabetes Educator,de,Joseph Stewart,1968-06-06,josephstewart@healthcare.org,Other,Diabetes Educator,de,J. Stewart
,1970-09-07,travisdavis@healthcare.org,Female,Infectious Disease Specialist,de,Travis Davis,1970-09-07,traviszdavis@healthcare.org,Female,Infectious Disease Specialist,de,T. Davis
,1965-04-22,cindyscott@healthcare.org,Male,Optician,de,Cindy Scott,1965-04-22,cindcyscott@healthcare.org,Male,Optician,de,C. Scott
,1975-11-21,mrrobertaguilar@healthcare.org,Female,Speech Pathologist,et,Mr. Robert Aguilar,1975-11-21,mrrobretaguilar@healthcare.org,Female,Speech Pathologist,et,M. Robert Aguilar
,1964-08-20,jessicacole@healthcare.org,Female,Anesthesiology Nurse,et,Jessica Cole,1964-08-20,jessicacolle@healthcare.org,Female,Anesthesiology Nurse,et,J. Cole
,1974-06-24,davidstone@healthcare.org,Female,Pharmacist,nl,David Stone,1974-24-06,davidstoe@healthcare.org,Female,Pharmacist,nl,David Stone
,1985-03-16,georgeboyd@healthcare.org,Female,Arthritis Specialist,nl,George Boyd,1985-16-03,georgeboyyd@healthcare.org,Female,Arthritis Specialist,nl,George Boyd
,1988-09-01,johntanner@healthcare.org,Female,Respiratory Therapist,de,John Tanner,1988-09-01,joohntanner@healthcare.org,Female,Respiratory Therapist,de,Tanner John
,1996-08-26,karencohen@healthcare.org,Other,Endocrine Nurse,et,Karen Cohen,1996-26-08,karecohen@healthcare.org,Other,Endocrine Nurse,et,Karen Cohen
,1976-09-01,joeparker@healthcare.org,Other,Respiratory Therapist,et,Joe Parker,1976-09-01,joearker@healthcare.org,Other,Respiratory Therapist,Estonian,Joe Parker
,1973-06-08,carlfisher@healthcare.org,Male,ENT Specialist,nl,Carl Fisher,1973-06-08,carlfihser@healthcare.org,Male,ENT Specialist,nl,Carl Fisier
,1996-02-20,jenniferlawrence@healthcare.org,Female,Elderly Care Specialist,de,Jennifer Lawrence,1996-02-20,jenrniferlawrence@healthcare.org,Female,Elderly Care Specialist,de,Lawrence Jennifer
,1961-08-13,stephaniekelly@healthcare.org,Female,Epidemiologist,et,Stephanie Kelly,1961-08-13,stephaniekely@healthcare.org,Female,Epidemiologist,et,S. Kelly
,1973-10-14,barbarasimpson@healthcare.org,Male,Community Outreach Specialist,nl,Barbara Simpson,1973-10-14,barbaradsimpson@healthcare.org,Male,Community Outreach Specialist,nl,Simpson Barbara
,1974-06-24,davidstone@healthcare.org,Female,Pharmacist,nl,David Stone,1974-24-06,davidstoe@healthcare.org,Female,Pharmacist,nl,David Stone
,1985-03-16,georgeboyd@healthcare.org,Female,Arthritis Specialist,nl,George Boyd,1985-16-03,georgeboyyd@healthcare.org,Female,Arthritis Specialist,nl,George Boyd
,1996-08-26,karencohen@healthcare.org,Other,Endocrine Nurse,et,Karen Cohen,1996-26-08,karecohen@healthcare.org,Other,Endocrine Nurse,et,Karen Cohen
,1962-06-04,carolmiller@healthcare.org,Other,Pharmacy Technician,de,Carol Miller,1962-04-06,carolmilelr@healthcare.org,Other,Pharmacy Technician,de,Carol Miller
,1966-12-10,kevindixon@healthcare.org,Female,Endocrine Nurse,de,Kevin Dixon,1966-10-12,kevindion@healthcare.org,Female,Endocrine Nurse,de,Kevin Dixon
,1966-10-25,williambrown@healthcare.org,Other,Nutrition Counselor,de,William Brown,1966-25-10,williammbrown@healthcare.org,Other,Nutrition Counselor,de,William Brown
,1988-02-08,morganjones@healthcare.org,Female,Blood Bank Technologist,nl,Morgan Jones,1988-08-02,morganjonges@healthcare.org,Female,Blood Bank Technologist,nl,Morgan Jones
,1978-05-01,michaelwagner@healthcare.org,Male,EKG Technician,nl,Michael Wagner,1978-01-05,mikchaelwagner@healthcare.org,Male,EKG Technician,nl,Michael Wagner
,1971-03-07,christopherblack@healthcare.org,Female,Rehabilitation Specialist,et,Christopher Black,1971-07-03,chrristopherblack@healthcare.org,Female,Rehabilitation Specialist,et,Christopher Black
,1981-07-13,janetbyrd@healthcare.org,Male,Dental Hygienist,et,Janet Byrd,1981-13-07,janetbyd@healthcare.org,Male,Dental Hygienist,et,Janet Byrd
,1988-09-01,johntanner@healthcare.org,Female,Respiratory Therapist,de,John Tanner,1988-09-01,joohntanner@healthcare.org,Female,Respiratory Therapist,de,Tanner John
,1986-03-26,lucasblevins@healthcare.org,Other,Midwife,de,Lucas Blevins,1986-03-26,lucasblevins@healthcare.org,Other,Midwife,de,Blevins Lucas
,1996-02-20,jenniferlawrence@healthcare.org,Female,Elderly Care Specialist,de,Jennifer Lawrence,1996-02-20,jenrniferlawrence@healthcare.org,Female,Elderly Care Specialist,de,Lawrence Jennifer
,1973-10-14,barbarasimpson@healthcare.org,Male,Community Outreach Specialist,nl,Barbara Simpson,1973-10-14,barbaradsimpson@healthcare.org,Male,Community Outreach Specialist,nl,Simpson Barbara
,1972-09-17,wyattmiller@healthcare.org,Female,Urologist,de,Wyatt Miller,1972-09-17,wbyattmiller@healthcare.org,Female,Urologist,de,Miller Wyatt
,1974-04-13,cassandrahernandez@healthcare.org,Male,Environmental Health Officer,nl,Cassandra Hernandez,1974-04-13,cassandahernandez@healthcare.org,Male,Environmental Health Officer,nl,Hernandez Cassandra
,1983-11-06,alexanderhughes@healthcare.org,Female,Pulmonary Function Technologist,de,Alexander Hughes,1983-11-06,alexanderhughhes@healthcare.org,Female,Pulmonary Function Technologist,de,Hughes Alexander
,1974-12-18,rachelfrost@healthcare.org,Female,Sleep Technician,de,Rachel Frost,1974-12-18,rachelfrost@healthcare.org,Female,Sleep Technician,de,Frost Rachel
,1961-08-21,michellebarrera@healthcare.org,Female,Neurologist,nl,Michelle Barrera,1961-08-21,mihcellebarrera@healthcare.org,Female,Neurologist,nl,Barrera Michelle
,1993-08-31,mariawilliams@healthcare.org,Female,Dermatologist,nl,Maria Williams,1993-08-31,mairawilliams@healthcare.org,Female,Dermatologist,nl,Williams Maria
,1977-05-19,matthewjenkins@healthcare.org,Male,Orthopedic Surgeon,nl,Matthew Jenkins,1977-05-19,matthewjenkins@healthcare.org,Male,Orthopedic Surgeon,Dutch,Matthew Jenkins
,1976-09-01,joeparker@healthcare.org,Other,Respiratory Therapist,et,Joe Parker,1976-09-01,joearker@healthcare.org,Other,Respiratory Therapist,Estonian,Joe Parker
,1998-10-25,matthewross@healthcare.org,Female,Otolaryngologist,de,Matthew Ross,1998-10-25,matthewross@healthcare.org,Female,Otolaryngologist,German,Matthew Ross
,1994-08-10,cameronroberts@healthcare.org,Other,Endocrinologist,et,Cameron Roberts,1994-08-10,cameronrobeerts@healthcare.org,Other,Endocrinologist,Estonian,Cameron Roberts
,1981-12-30,josephvillanueva@healthcare.org,Male,Respiratory Therapist,et,Joseph Villanueva,1981-12-30,josepvhillanueva@healthcare.org,Male,Respiratory Therapist,Estonian,Joseph Villanueva
,1992-03-04,kristamaddox@healthcare.org,Female,GI Nurse,et,Krista Maddox,1992-03-04,kristamadbdox@healthcare.org,Female,GI Nurse,Estonian,Krista Maddox
,1974-06-11,jessicawalker@healthcare.org,Male,Speech Therapist,de,Jessica Walker,1974-06-11,jessicawwalker@healthcare.org,Male,Speech Therapist,German,Jessica Walker
,1960-10-08,scottterrell@healthcare.org,Female,Infectious Disease Specialist,et,Scott Terrell,1960-10-08,scottteerrell@healthcare.org,Female,Infectious Disease Specialist,Estonian,Scott Terrell
,1995-11-02,ashleyschneider@healthcare.org,Female,Dermatology Nurse,de,Ashley Schneider,1995-11-02,ashleyscheider@healthcare.org,Female,Dermatology Nurse,German,Ashley Schneider
