label,left_birthDate,left_email,left_gender,left_jobTitle,left_knowsLanguage,left_name,right_birthDate,right_email,right_gender,right_jobTitle,right_knowsLanguage,right_name
,1961-03-28,emilycooper@healthcare.org,Male,Obstetrician,et,Emily Cooper,1998-06-07,vpictorwilson@healthcare.org,Male,Community Outreach Specialist,Estonian,Victor Wilson
,1974-04-10,antonioherring@healthcare.org,Female,Speech Therapist,nl,Antonio Herring,1972-04-28,caitlinwrright@healthcare.org,Female,Pathologist,Dutch,Caitlin Wright
,1980-01-26,tammydelgado@healthcare.org,Male,General Practitioner,de,Tammy Delgado,1983-08-03,kevincooper@healthcare.org,Other,Medical Laboratory Scientist,German,Kevin Cooper
,1992-11-07,elizabethroy@healthcare.org,Other,Pulmonologist,nl,Elizabeth Roy,1972-04-28,caitlinwrright@healthcare.org,Female,Pathologist,Dutch,Caitlin Wright
,1993-06-08,thomasgarcia@healthcare.org,Female,GI Technician,et,Thomas Garcia,1998-06-07,vpictorwilson@healthcare.org,Male,Community Outreach Specialist,Estonian,Victor Wilson
,1968-09-22,stephencummings@healthcare.org,Male,General Practitioner,de,Stephen Cummings,1983-08-03,kevincooper@healthcare.org,Other,Medical Laboratory Scientist,German,Kevin Cooper
,1970-11-26,loriperry@healthcare.org,Female,Respiratory Therapist,de,Lori Perry,1983-08-03,kevincooper@healthcare.org,Other,Medical Laboratory Scientist,German,Kevin Cooper
,1987-12-22,gabriellahicks@healthcare.org,Other,Orthopedic Nurse,et,Gabriella Hicks,1998-06-07,vpictorwilson@healthcare.org,Male,Community Outreach Specialist,Estonian,Victor Wilson
,1976-03-19,elizabethmartinez@healthcare.org,Female,EKG Technician,nl,Elizabeth Martinez,1972-04-28,caitlinwrright@healthcare.org,Female,Pathologist,Dutch,Caitlin Wright
,1972-04-28,caitlinwright@healthcare.org,Female,Pathologist,nl,Caitlin Wright,1972-04-28,caitlinwrright@healthcare.org,Female,Pathologist,Dutch,Caitlin Wright
,1993-04-05,jenniferbarker@healthcare.org,Male,Communication Disorders Specialist,de,Jennifer Barker,1983-08-03,kevincooper@healthcare.org,Other,Medical Laboratory Scientist,German,Kevin Cooper
,1979-04-29,derrickcoleman@healthcare.org,Other,Nurse Practitioner,nl,Derrick Coleman,1972-04-28,caitlinwrright@healthcare.org,Female,Pathologist,Dutch,Caitlin Wright
,1968-06-06,josephstewart@healthcare.org,Other,Diabetes Educator,de,Joseph Stewart,1983-08-03,kevincooper@healthcare.org,Other,Medical Laboratory Scientist,German,Kevin Cooper
