label,left_addressCountry,left_addressLocality,left_postalCode,left_streetAddress,right_addressCountry,right_addressLocality,right_postalCode,right_streetAddress
,NL,Grootschermer,2812 AU,Isisring 85,Netherlands,Grootschermer,2812 AU, Isisring 85
,NL,Vorden,9898 VS,Kyanboulevard 125,Netherlands,Vorden,9898 VS,Kyanboulevard 125
,AT,Oberndorf bei Salzburg,2976,Franz-Marx-Straße 1,Austria,Oberndorf bei Salzburg,2976,Franz-Marx-Straße 1
,AT,Amstetten,9831,Reischlstraße 16,Austria,Amstetten,9831,Reischlstraße 16
,EE,Viktoriashire,33402,Tamme Port 139,Estonia,Viktoriashire,33402,Tamme Port 139
,NL,Ansen,8813 TF,Stefring 97,Netherlands,Ansen,8813 TF,Stefring 97
,AT,Enns,2160,Alara-Reif-Weg 88,Austria,Enns,2160,Alara-Reif-Weg 88
,NL,Punthorst,7086 LB,Larastraat 137,NL,Pnuthorst,7086 LB,Larastraat 137
,NL,Pietersbierum,2476 JN,Emmapad 48,NL,Pietersbeirum,2476 JN,Emmapad 48
,EE,Jevgenifort,84956,Kadri Island 34,EE,Jevgeifort,84956,Kadri Island 34
,AT,Bad Leonfelden,2034,Estelle-Suppan-Platz 79,AT,Ba dLeonfelden,2034,Estelle-Suppan-Platz 79
,EE,Kristiinaburgh,43198,Reet Port 145,EE,Kristiinabugrh,43198,Reet Port 145
,EE,Mägichester,53090,Sokolov Turnpike 148,EE,MÃ¤gihcester,53090,Sokolov Turnpike 148
,AT,Mank,9672,Hoferplatz 2,AT,Mnak,9672,Hoferplatz 2
,EE,New Viktoria,59270,Marek Fords 19,EE,New Viktoria,59270 ,Marek Fords 19
,NL,Nieuwe Wetering,7551 DV,Fatimasteeg 138,NL,Nieuwe Wetering,7551DV,Fatimasteeg 138
,NL,Voorburg,8196 WK,Juulsteeg 36,NL,Voorburg,8196WK,Juulsteeg 36
,AT,Kindberg,3707,Selena-Rohrer-Gasse 137,AT,Kindberg,3707 ,Selena-Rohrer-Gasse 137
,AT,Poysdorf,9968,Reichlgasse 149,AT,Poysdorf,9968 ,Reichlgasse 149
,AT,Wieselburg,2431,Ellergasse 123,AT,Wieselburg,2431 ,Ellergasse 123
,AT,Liezen,4309,Lily-Rechberger-Ring 65,AT,Liezen,4309 ,Lily-Rechberger-Ring 65
,AT,Ebenfurth,8571,Levi-Schweiger-Weg 114,AT,Ebenfurth,8571,Levi-Schweiger-Weg 114B
,AT,Mautern an der Donau,9776,Isabella-Trinkl-Platz 135,AT,Mautern an der Donau,9776,Isabella-Trinkl-Platz 135A
,AT,Mürzzuschlag,8603,Tiffany-Wimmer-Weg 50,AT,Mürzzuschlag,8603,Tiffany-Wimmer-Weg 50C
,EE,North Tiiuville,20501,Reet Club 38,EE,North Tiiuville,20501,Reet Club 38C
,AT,Ferlach,6055,Fernando-Polzer-Platz 77,AT,Ferlach,6055,Fernando-Polzer-Platz 77A
,AT,Bruck an der Leitha,3820,Larissa-Eberharter-Ring 62,AT,Bruck an der Leitha,3820,Larissa-Eberharter-Ring 62B
,AT,Innsbruck,6940,Ava-Schütz-Gasse 99,AT,Innsbruck,6940,Ava-SchÃ¼tz-Gasse 99C
